ts_code,chairman,manager,secretary,reg_capital,setup_date,province
300768.SZ,郑树生,邹禧典,邹禧典,64382.9039,20080528,浙江
300982.SZ,施小波,施小波,张子健,20696.5146,20070403,江苏
001236.SZ,储开荣,赵伟雄,黄海清,100777.7778,19950731,江苏
002936.SZ,赵飞,李红,韩慧丽,909209.1358,19961116,河南
300894.SZ,黄卫斌,黄卫斌,,40772.2965,20100408,浙江
300949.SZ,李宝章,李方悦,傅佳敏,6032.83,20011214,广东
002975.SZ,王兆春,陈均,黄璨,16030.2593,20050530,广东
002061.SZ,于群力,杨剑,赵军伟,267055.143,19981123,浙江
301580.SZ,李洪文,李洪文,郜雨,10656.4537,20070315,河北
300969.SZ,许宁宁,许恒帅,廖维明,11200.0,20010221,浙江
301314.SZ,于志江,于志江,刘甲坤,5525.0,20051202,广东
300789.SZ,陈唐龙,佘朝富,陈玺,14384.9057,20101105,四川
002935.SZ,赵晓虎,刘江,王利强,42410.2508,20040104,四川
301260.SZ,陈寅,陈寅,徐友涛,48245.7074,20020702,江苏
301585.SZ,郭振荣,郭振荣,屠宁,10400.0,20101230,浙江
301159.SZ,金震,金震,彭微,7735.0,19950703,北京
301312.SZ,邱鹏,关巍,廖新江,12122.2703,20110707,广东
301512.SZ,李晓华,朱明园,唐晶莹,5333.34,20120302,广东
300990.SZ,张浩雷,张浩雷,高宇,16974.934,20010111,河北
300551.SZ,侯耀奇,章祥余,侯耀奇,34006.2839,19960708,上海
002187.SZ,康永平,蔡劲松,蔡劲松,70089.4633,19900827,广东
300577.SZ,范劲松,范劲松,徐耘,23979.2701,20091113,安徽
002871.SZ,范庆伟,范庆伟,李鹏飞,25185.3845,19950608,山东
300777.SZ,杨永岗,李辉,李剑锋,43970.7537,20080428,江苏
300722.SZ,袁有根,刘爱平,施玲玲,27675.648,20080505,江西
301197.SZ,齐承英,齐成勇,贾国栋,12054.0,20021122,河北
301322.SZ,张志江,张志江,江文秀,14128.7878,20040511,广东
301203.SZ,陈柏校,夏玉坤,沈家良,8000.0,20010713,浙江
301487.SZ,朱武,朱武,胡杰,45961.6438,20091118,天津
300986.SZ,高渭泉,高渭泉,黄萍,41197.3975,20111208,江西
002980.SZ,袁剑敏,袁剑敏,季弘,18940.116,19910326,广东
002110.SZ,刘梅萱,潘建洲,胡红林,242907.6227,20011226,福建
300660.SZ,苏达,苏达,殷成龙,44713.6548,20060429,江苏
300932.SZ,宋朝阳,宋朝阳,邝美艳,32010.3998,20080516,广东
300765.SZ,姚兵,姚兵,戴龙,140459.2944,20060405,河北
300843.SZ,潘浩,潘浩,许立各,16370.4863,20071214,广东
300669.SZ,邹家春,邹家春,陈真理,19270.5526,20040414,浙江
300922.SZ,宋金锁,李阳,王素荣,15858.236,19960321,河北
301338.SZ,邱国良,邓迪,邱靖琳,10640.0,20050508,广东
300636.SZ,庞正伟,庞正伟,周志承,41995.1495,20040420,江西
300170.SZ,陈迪清,黄益全,刘福东,102019.6311,20020715,上海
002484.SZ,陈卫东,丁继华,王汉明,85052.3941,19581001,江苏
300939.SZ,黄志毅,陈稳见,王亚彬,12000.0,20041105,广东
301209.SZ,李秀梅,马承志,程丽娟,11200.0,20070312,山东
301157.SZ,杨冬强,李明星,胡瑞芳,6000.0,20051216,浙江
301062.SZ,陈安康,陈安康,陈雪骐,43227.7187,20060814,上海
301328.SZ,李文化,李文化,刘雨田,10989.3594,20021129,广东
301300.SZ,王承辉,王承日,聂志明,6488.8,20061026,福建
300870.SZ,王合球,王合球,蔡丽琳,10985.4451,19960529,广东
301397.SZ,韩宗俊,韩宗俊,韩啸,15566.2898,19990420,重庆
301246.SZ,尹国平,徐双喜,肖拥华,40000.68,20020121,湖北
301239.SZ,徐旭阳,孙强,金亮,14961.9048,20060323,四川
002372.SZ,金红阳,金红阳,谭梅,159203.7988,19991012,浙江
300081.SZ,孟楠,孟楠,宫泽茹,60479.5417,20011103,北京
301100.SZ,王磊,王磊,李大双,20000.0,20031117,辽宁
301548.SZ,周少华,朱杰,龙畅,8700.0,20031112,湖南
301379.SZ,王嗣纬,王嗣纬,叶小翠,19824.3944,20050826,广西
002771.SZ,王国红,王小刚,鞠岩,20976.41,20000522,北京
000100.SZ,李东生,李东生,廖骞,2080086.2447,19820311,广东
002001.SZ,胡柏藩,胡柏剡,石观群,307342.168,19990405,浙江
301090.SZ,许洪波,许洪波,李小俊,148094.4683,20030714,江苏
301327.SZ,孙中伟,孙中伟,王秋蓉,17438.1356,20110725,广东
002002.SZ,周奕丰,周奕丰,周灿伟,312207.7654,19951206,江苏
301608.SZ,周小强,周小强,向碧琼,8899.0,20090604,广东
301589.SZ,袁胜春,袁胜春,张争,9244.8,20080429,陕西
301019.SZ,任卫庆,任卫庆,陈建国,16799.9995,19991021,浙江
301182.SZ,陈海刚,陈海刚,邵振康,9582.17,20091104,河南
300807.SZ,郭建国,郭建国,刘洪宇,6803.9587,20040413,河南
301413.SZ,邬若军,邬若军,张延洪,9840.1985,20041115,广东
300910.SZ,郭春萱,郭春萱,尚庆春,29593.5278,19961111,河南
300811.SZ,杜江华,郭雄志,阮佳林,28980.0284,20090917,广东
300946.SZ,林正华,林正华,方俊锋,15600.78,19951120,福建
301089.SZ,杨西宁,杨邵华,杨钰华,12654.45,20050203,河南
301123.SZ,邓玉泉,邓可,谢张,23464.0,19970514,广东
300504.SZ,李世宏,白云波,杨杰,27102.458,20010115,四川
301048.SZ,张伟,肖绪明,王昌明,53333.34,20010508,湖北
301029.SZ,金立国,金立国,张美琪,63420.2712,20101206,广东
300727.SZ,叶剑平,叶剑平,徐小骏,17986.7353,20001206,浙江
301061.SZ,徐梅钧,徐梅钧,张聪颖,21876.7401,20020531,江苏
001306.SZ,夏建敏,夏挺,张波杰,6285.06,19990315,浙江
301167.SZ,韦法华,汤健,王红兵,11200.0,19920711,安徽
301118.SZ,曹立祥,曹立祥,朱友良,11019.64,20081218,湖南
301369.SZ,张赤梅,郑俊岭,邱少媚,7057.5398,19981207,广东
300701.SZ,单森林,邓婧,邹洋,28273.5119,20050818,河南
301189.SZ,吴世杰,吴世杰,姜淞竣,11639.6465,20050809,广东
301031.SZ,方广文,刘竹西,刘冰,9832.248,20070420,陕西
301097.SZ,吴志敏,吴志敏,李孟良,5894.7368,19980312,浙江
301196.SZ,庄辉阳,庄辉阳,罗建文,12525.6497,20050404,福建
301587.SZ,杨学新,杨学新,曹燕,14732.804,20010531,江苏
002159.SZ,周爱强,张泉,曹正,17730.1325,19890905,湖北
301515.SZ,陈永,陈永,陈兴根,10000.0,19980113,四川
301306.SZ,李泽新,王永峰,乔宏元,8440.0,20100601,陕西
301150.SZ,汪晓霞,程世国,金华峰,23323.3467,20070913,湖北
300672.SZ,向平,向平,黄然,21714.0672,20080924,湖南
002337.SZ,张晓辰,张晓辰,王红军,58861.575,19950216,天津
002377.SZ,吕华生,吕华生,严先发,91632.5201,20020325,湖北
300477.SZ,刘泽刚,韦强,王萍,107201.8687,19970415,北京
002112.SZ,谢伟世,刘曰来,谢伟世,29413.1282,20011229,浙江
002041.SZ,唐世伟,程励,原绍刚,88000.0,20001208,山东
300150.SZ,朱江滨,朱江滨,刘卓妮,58510.6053,19990503,北京
003006.SZ,冯永林,冯永林,张黎,42964.779,20101129,重庆
002450.SZ,魏济成,魏济成,李华,354090.0282,20010821,江苏
002056.SZ,任海亮,何悦,吴雪萍,162671.2074,19990330,浙江
002172.SZ,沈学如,李静,季超,76573.236,20011022,江苏
002037.SZ,刘文生,张新民,刘文生,48388.3566,20020718,贵州
002046.SZ,蒋蔚,闫宁,赵祥功,53626.6835,20011209,河南
000875.SZ,杨玉峰,,刘爽,362727.0626,19971120,吉林
300855.SZ,万柏方,万柏方,何剑,39553.15,19910528,江苏
301192.SZ,王世斌,王世斌,姜雪,9990.0,19970729,湖北
300743.SZ,韩琼,韩琼,吕玫航,15124.0499,20020427,浙江
002168.SZ,艾远鹏,郑远康,付汝峰,78416.3368,19990702,重庆
002066.SZ,陈荣建,王华,邹琼慧,23490.7,20011230,北京
002146.SZ,邹家立,吴秋云,伍小峰,434816.3851,19961230,河北
300152.SZ,程芳芳,齐龙龙,马辉,71280.0,20030617,河北
300803.SZ,冷晓翔,冷晓翔,李静怡,60821.524,20010428,北京
002038.SZ,徐明波,徐明波,梁淑洁,102735.0,19941224,北京
002896.SZ,岑国建,岑国建,伍旭君,19652.267,20060828,浙江
002070.SZ,熊为民,熊为民,张玉龙,227746.1473,20020225,福建
002279.SZ,赵福君,党毅,王海霞,86220.6871,19990816,北京
002098.SZ,丁朝泉,,谢静波,35800.0,19920217,福建
002074.SZ,李缜,李缜,汪泉,181373.4748,19950123,安徽
002047.SZ,李鹏,肖家河,,151624.8693,19930430,广东
300445.SZ,姜维利,何欣,刘楠楠,21243.0013,20040920,北京
002327.SZ,林国芳,林国芳,李艳,83824.5539,19940811,广东
002044.SZ,俞熔,徐涛,万晓晓,391425.3923,19910122,浙江
300183.SZ,骆玲,崔健,郭宋君,46260.9137,19930630,山东
001309.SZ,李虎,杜铁军,于海燕,22688.6272,20081120,广东
003027.SZ,郑光明,郑勇,初宏洲,13072.32,20060619,安徽
300880.SZ,章恩友,章恩友,李楠,19513.728,19990129,浙江
002085.SZ,赵亚红,余登峰,李亚,212329.752,20010930,浙江
002080.SZ,黄再满,陈雨,何思成,167812.3584,20011228,江苏
301200.SZ,杨朝辉,杨朝辉,周小东,42550.9152,20020422,广东
002961.SZ,林志斌,葛昶,甘雅娟,44503.654,19930324,福建
002040.SZ,赵建华,葛绍庭,干亚平,48794.6985,20010921,江苏
300149.SZ,WOO SWEE LIAN,WOO SWEE LIAN,许剑,49796.3992,20000126,广东
002594.SZ,王传福,王传福,李黔,911719.7565,19950210,广东
002097.SZ,付向东,夏志宏,王剑,107461.7264,19990729,湖南
002451.SZ,朱志兰,朱志兰,黄圣植,44067.0,19971005,上海
300353.SZ,李平,李平,潘俊,61489.2881,20000327,北京
002075.SZ,季永新,钱洪建,杨华,219382.5445,19990928,江苏
300601.SZ,杜伟民,苗向,陶瑾,111692.9111,19920908,广东
002306.SZ,陈继,陈继,覃检,86976.25,19990914,北京
300630.SZ,范敏华,范敏华,周茂,56130.9351,19920714,海南
300710.SZ,付小铜,李啸虎,李鑫,9949.03,20010513,浙江
002966.SZ,崔庆军,王强,朱敏军,447066.2011,20041224,江苏
002093.SZ,陈学华,陈学华,张文斌,100750.0,20001229,福建
002076.SZ,李振江,李振江,张桃华,110912.4491,19921022,广东
300225.SZ,郝大庆,吴纯超,吴纯超,47542.959,19931230,上海
002067.SZ,朱在龙,王志明,姚洁青,147485.3853,19961101,浙江
002083.SZ,张国华,肖茂昌,彭仕强,94663.9012,19990811,山东
300091.SZ,申志刚,申志刚,陈树军,148916.4214,19930409,江苏
301066.SZ,李建华,余志伟,叶晓君,23492.3111,20070913,浙江
300643.SZ,张健儿,张健儿,李滨,23125.3546,19931225,浙江
300968.SZ,吴宝玉,吴宝玉,白国昌,41338.0,20020429,广东
002900.SZ,秦剑飞,秦剑飞,梁延飞,31635.755,19960621,黑龙江
002072.SZ,纪晓文,纪晓文,朱小艳,36768.0,20000612,湖北
002071.SZ,方志琴,方志琴,赵非凡,52542.9878,19990115,安徽
002102.SZ,邓海雄,邓海雄,黄浩,247562.679,20020928,湖北
002064.SZ,尤飞煌,朱炫相,李亿伦,496254.3897,19991215,浙江
300647.SZ,杜建军,杜建军,王军,45732.1024,20050427,广东
002068.SZ,魏明,李毅,张志景,73534.5196,20010712,江西
002207.SZ,简伟,简伟,吕占民,26205.5378,20010629,新疆
002105.SZ,廖学金,廖学湖,陈丽秋,36806.0,19911028,广东
002103.SZ,王利平,王君平,江淑莹,53427.2953,19961030,浙江
300897.SZ,钱炳炯,季永聪,王雪洲,14021.9804,19991108,浙江
002118.SZ,初立民,初立民,帕如克·亚力,128075.9826,19980525,吉林
002211.SZ,徐国兴,黄俊,王燕杰,43247.5779,20020424,上海
002216.SZ,陈南,陈希,刘铮铮,87918.4048,20010628,河南
300090.SZ,程鹏,徐凌峰,徐凌峰,351172.5542,20040607,安徽
300941.SZ,林岚,林岚,彭宏毅,20475.0,19950818,福建
002404.SZ,周国建,徐鸿,郑晓,56005.1541,19990329,浙江
301091.SZ,林涛,黎木平,徐惠农,52728.0,20080114,广东
300096.SZ,吴梁斌,吴梁斌,牛妞,43000.0,20000714,福建
002045.SZ,陆宏达,何伟成,王婕,56248.3132,19951208,广东
002145.SZ,袁秋丽,王顺民,周园,380667.2183,20010223,甘肃
002489.SZ,谢建勇,谢建强,王洪阳,216901.6313,20010618,浙江
002843.SZ,方鸿,谢映波,谭杰伦,25173.7562,20031023,湖南
002114.SZ,肖力升,肖力升,肖力升,32339.5267,20001221,云南
002115.SZ,李越伦,李越伦,任锋,81099.1332,19930513,浙江
300689.SZ,冯学裕,冯学裕,蒋伟红,11560.0,20060801,广东
002948.SZ,景在伦,吴显明,张巧雯,582035.4724,19961115,山东
300828.SZ,凌沧桑,凌沧桑,李然,16642.2,20041125,天津
300444.SZ,赵志宏,赵志宏,史玉,79862.509,20021213,北京
002099.SZ,许国睿,许国睿,颜康,161871.5253,19980507,浙江
002120.SZ,聂腾云,聂腾云,杨红波,289920.0219,19960405,浙江
300900.SZ,王增夺,杨怀忠,毕恒恬,29715.1169,20110225,黑龙江
002338.SZ,高劲松,赵嵩,沈娟,24000.0,20010626,吉林
300026.SZ,吴文元,蓝武军,杨伊,300415.4837,20000930,天津
002100.SZ,张杰,成辉,郭运江,136525.1515,20001228,新疆
300080.SZ,杜永红,李欣平,潘政烁,187338.0436,19971104,河南
002101.SZ,廖坚,宋选鹏,廖坚,66437.6239,20001222,广东
002148.SZ,傅乐民,傅乐民,黄潇,55898.733,19971112,北京
002261.SZ,李新宇,李新宇,邢霓虹,125983.1474,19960520,湖南
002203.SZ,冯橹铭,冯橹铭,童莹莹,229175.5274,20011029,浙江
002705.SZ,郭建刚,王伟,陈景山,81187.578,19951211,广东
002116.SZ,李士军,李士军,林琳,46605.6258,19930217,上海
002331.SZ,陈翔炜,陈翔炜,张骞予,42843.1749,19990512,安徽
002200.SZ,马福斌,杨自全,邹吉虎,18413.289,20010807,云南
002073.SZ,官炳政,官炳政,张垚,101972.6423,20001231,山东
002154.SZ,吴志泽,吴志泽,谢海静,145933.3729,20010620,浙江
002086.SZ,刘洪涛,刘洪涛,吴俊,195894.65,20011219,山东
002119.SZ,叶骥,郑芳,周荣康,37528.4,19920629,浙江
002232.SZ,张志刚,閤华东,陈鑫,40854.8455,20001025,吉林
001211.SZ,郑承烈,郑承烈,朱卫清,7200.0,20020920,浙江
300991.SZ,张建明,张建明,张凯军,14400.0,20030925,广东
002088.SZ,Panuphand Asvaintra,Panuphand Asvaintra,崔子娆,51312.2586,19921014,山东
002332.SZ,张宇松,金炜华,张王伟,98920.4866,20000626,浙江
002190.SZ,石晓卿,,程雁,35872.9343,20001206,四川
002191.SZ,乔鲁予,侯旭东,李晓华,145177.8834,19961014,广东
002060.SZ,谢彦辉,谢彦辉,林广喜,375439.3242,20011227,广东
301519.SZ,李广宏,李广宏,张义斌,16416.0,20110908,安徽
300650.SZ,庄占龙,庄占龙,庄伟阳,21829.6126,20070911,福建
300558.SZ,丁列明,丁列明,吴灵犀,42073.3843,20030107,浙江
002305.SZ,李明轩,昌海军,畅文智,173421.577,19980727,湖北
002303.SZ,王治军,王治军,刘会丰,153132.3685,20000517,广东
000088.SZ,李雨田,李安民,罗静涛,519948.3346,19970721,广东
000089.SZ,陈繁华,刘锋,孙郑岭,205076.9509,19980410,广东
000090.SZ,郑晓生,何云武,张明哨,186854.5434,19931206,广东
000099.SZ,张坚,闫增军,欧阳铭志,77577.0137,19990211,广东
000150.SZ,林向东,林向东,林向东,87769.7557,19930219,广东
000617.SZ,何放,何放,刘强,1264207.9079,19961011,新疆
000618.SZ,于力,张兴福,张丽燕,356107.8,19941213,吉林
000619.SZ,李晓波,虞节玉,汪涛,44116.8831,19961016,安徽
000620.SZ,王赓宇,王赓宇,边冬瑞,587181.504,19930625,北京
000621.SZ,周继葆,周继葆,,64968.3147,20030410,江苏
000622.SZ,石圣平,石圣平,,42522.6,19930508,湖南
000407.SZ,许铁良,王伟,杜以宏,88008.4656,19940511,山东
000408.SZ,吴健辉,肖瑶,李瑞雪,157022.5745,19960625,青海
000409.SZ,刘波,刘波,向瑛,67799.0505,19930302,山东
000405.SZ,张剑波,周天亮,周天亮,30686.8102,19870417,广东
000406.SZ,薛万东,周长江,迟中东,36402.7608,19930508,山东
002653.SZ,严庞科,严庞科,王萌,111991.797,20050826,西藏
000531.SZ,许鸿生,周水良,,104140.1332,19921130,广东
000532.SZ,郭瑾,谢浩,曹海霞,34470.834,19921028,广东
000533.SZ,张译军,张译军,魏恒刚,69081.6,19921028,广东
000534.SZ,黄振光,陈岚,蔡勇峰,50983.5816,19921104,广东
000535.SZ,鲁胜利,吴建辉,杨佳榆,85272.4802,19931118,辽宁
000536.SZ,林俊,赵志勇,张发祥,276603.2803,19950525,福建
000623.SZ,李秀林,郭淑芹,王振宇,119589.5387,19930320,吉林
000625.SZ,朱华荣,,张德勇,991408.606,19961031,重庆
000627.SZ,刘益谦,龙飞,龙飞,490413.9165,19931118,湖北
000629.SZ,王绍东,王绍东,谢正敏,929094.7845,19930327,四川
000410.SZ,徐永明,徐永明,张天右,264907.3009,19930520,辽宁
000411.SZ,汪洋,汪洋,谭江,52189.4227,19951214,浙江
000412.SZ,高超,张振华,周刚,28896.1676,19930628,吉林
000413.SZ,郭轩,郭轩,王庆,563274.9948,19921226,河北
000416.SZ,唐露露,李冠宏,刘畅,53187.1494,19791228,山东
301559.SZ,季国祥,季国祥,张毅,60000.0,20030814,江苏
002117.SZ,史建中,唐国奇,齐利国,52372.0955,19960325,山东
000537.SZ,周现坤,强同波,伊成儒,206660.2352,19860305,天津
000539.SZ,郑云鹏,,刘维,525028.3986,19960205,广东
000540.SZ,罗玉平,罗玉平,谭忠游,1224525.4679,19940108,贵州
000541.SZ,余中民,张学权,黄震环,153577.823,19921020,广东
000542.SZ,万明坚,顾工,肖晓平,18810.88,19850321,广东
000630.SZ,丁士启,文燕,姚兵,1340947.151,19961112,安徽
000631.SZ,陈利军,盛树浩,王红民,239527.9084,19930702,浙江
000632.SZ,林昱,林向辉,吴森阳,46551.957,19921024,福建
000633.SZ,柴宏亮,姜秋野,韩铁柱,38510.6373,19900312,新疆
000417.SZ,张同祥,张同祥,杨志春,77988.42,19960729,安徽
000418.SZ,方洪波,陆剑峰,周斯秀,63248.7764,19931129,江苏
000419.SZ,周兆达,周兆达,杨格艺,54358.2655,19960810,湖南
000420.SZ,金东杰,金东杰,曲大军,245886.8343,19881109,吉林
002462.SZ,徐曦,黄奕斌,柴昊,29170.712,19970422,北京
000001.SZ,谢永林,冀光恒,周强,1940591.8198,19871222,广东
000002.SZ,黄力平,,田钧,1193070.9471,19840530,广东
000003.SZ,张曙欣,张曙欣,张雪妮,40012.0286,19880310,广东
000004.SZ,黄翔,阮旭里,阮旭里,13238.0282,19860505,广东
000543.SZ,李明,方世清,沈春水,226686.3331,19931213,安徽
000544.SZ,梁伟刚,谭云飞,张一帆,97468.4488,19961025,河南
000545.SZ,郭彦君,郭彦君,辛毅,98683.3096,19891115,吉林
000547.SZ,胡庆荣,孙逊,吴小兰,159846.8269,19931120,福建
000636.SZ,李程,杨晓平,殷健,115701.3211,19940323,广东
000637.SZ,龙起龙,龙起龙,马永新,51987.5356,19881004,广东
000638.SZ,刘玉,刘玉,郭子斌,31138.6551,19961120,吉林
000639.SZ,王辉,周勇,王超,107942.8095,20110131,山东
000421.SZ,王巍,周伟,徐宁,57441.5734,19920710,江苏
000422.SZ,卞平官,郭锐,王凤琴,108824.8412,19930906,湖北
000423.SZ,孙金妮,孙金妮,丁红岩,64397.6824,19940604,山东
000425.SZ,杨东升,陆川,费广胜,1175297.2482,19931215,江苏
000005.SZ,丁芃,郑列列,罗晓春,105853.6842,19890508,广东
000006.SZ,宋扬,李伟,杜汛,134999.5046,19890525,广东
000007.SZ,唐乾,唐乾,陈伟彬,34644.8044,19830311,广东
000008.SZ,孔令胜,周健,侯小婧,271637.7683,19891011,北京
000009.SZ,黄旭,卢敏,郭山清,257921.3965,19901008,广东
000548.SZ,皮钊,彭顺勇,张健,49921.5811,19921108,湖南
000549.SZ,谭旭光,聂新勇,张英姿,93628.656,19931214,湖南
000551.SZ,周成明,周成明,周微微,48473.3046,19931222,江苏
000552.SZ,谢晓锋,苏统亨,滕万军,535180.9306,19961228,甘肃
000677.SZ,姜大广,姜大广,姜大广,86397.7948,19890721,山东
000678.SZ,高少兵,张雷,孟杰,45961.1797,19930506,湖北
000680.SZ,李士振,张民,袁青,150014.2612,19931214,山东
000681.SZ,廖杰,柴继军,李淼,70057.7436,19940528,江苏
000428.SZ,杨宏伟,,谢彩平,101892.6,19960803,湖南
000429.SZ,苗德山,,杨汉明,209080.6126,19970102,广东
000430.SZ,张坚持,赵辉,周丰富,40481.7686,19921217,湖南
000498.SZ,林存友,万雨帆,安耀峰,155244.0806,19940110,山东
