ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
002366.SZ,20250630,其他核电设备,P,31612517.79,,,CNY
002366.SZ,20250630,其他专用设备行业,I,228212981.45,390900.47,227822080.98,CNY
002366.SZ,20250630,锻造产品,P,158203285.01,-6602622.19,164805907.2,CNY
002366.SZ,20250630,核电站一回路主管道,P,77939146.12,34631479.1,43307667.02,CNY
002366.SZ,20250630,中国大陆,D,335589587.49,35869149.61,299720437.88,CNY
002366.SZ,20250630,其他业务收入,P,12754680.79,,,CNY
002366.SZ,20250630,石化装备产品,P,57255015.65,2978641.83,54276373.82,CNY
002366.SZ,20250630,核电行业,I,109551663.91,35517422.2,74034241.71,CNY
002366.SZ,20250630,国外,D,2175057.87,39173.06,2135884.81,CNY
002366.SZ,20241231,核电行业,I,439563033.45,230382141.4,209180892.05,CNY
002366.SZ,20241231,其他主营业务,P,23397649.41,13478569.08,9919080.33,CNY
002366.SZ,20241231,中国大陆,D,1001003323.41,215893542.04,785109781.37,CNY
002366.SZ,20241231,锻造产品,P,366589671.82,-35944921.82,402534593.64,CNY
002366.SZ,20241231,其他(行业),I,23397649.41,13478569.08,9919080.33,CNY
002366.SZ,20241231,石化装备产品,P,177017429.0,8762202.57,168255226.43,CNY
002366.SZ,20241231,订单销售,455006000,1006567783.68,216677991.23,789889792.45,CNY
002366.SZ,20241231,国外,D,5564460.27,784449.19,4780011.08,CNY
002366.SZ,20241231,其他专用设备行业,I,543607100.82,-27182719.25,570789820.07,CNY
002366.SZ,20241231,核电站一回路主管道,P,374527213.35,219154429.41,155372783.94,CNY
002366.SZ,20241231,其他核电设备,P,65035820.1,11227711.99,53808108.11,CNY
002366.SZ,20240630,核电行业,I,192076072.46,90498383.08,101577689.38,CNY
002366.SZ,20240630,国外,D,4426768.8,273609.32,4153159.48,CNY
002366.SZ,20240630,其他专用设备行业,I,228183471.33,-16553599.68,244737071.01,CNY
002366.SZ,20240630,其他核电设备,P,18715830.05,-2943806.31,21659636.36,CNY
002366.SZ,20240630,锻造产品,P,141599326.04,-23917236.44,165516562.48,CNY
