ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
002483.SZ,20250630,通用设备制造行业其他,P,21994842.67,,,CNY
002483.SZ,20250630,船舶配套装备,P,62960402.54,,,CNY
002483.SZ,20250630,通用设备制造业,I,2764013342.96,488766861.01,2275246481.95,CNY
002483.SZ,20250630,其他(行业),I,40708136.46,26646722.06,14061414.4,CNY
002483.SZ,20250630,国外,D,2256257428.64,449426383.54,1806831045.1,CNY
002483.SZ,20250630,节能环保行业,I,331292286.03,104358305.79,226933980.24,CNY
002483.SZ,20250630,海洋工程装备及配套装备,P,400143661.05,32181447.93,367962213.12,CNY
002483.SZ,20250630,中国大陆,D,879756336.81,170345505.32,709410831.49,CNY
002483.SZ,20250630,其他主营业务,P,40708136.46,26646722.06,14061414.4,CNY
002483.SZ,20250630,环保业务,P,331292286.03,104358305.79,226933980.24,CNY
002483.SZ,20250630,起重装备,P,2278914436.7,440506534.93,1838407901.77,CNY
002483.SZ,20241231,通用设备制造业,I,7433991124.47,1679463034.37,5754528090.1,CNY
002483.SZ,20241231,船舶配套装备,P,802309364.85,,,CNY
002483.SZ,20241231,国外,D,6615450760.4,1474184072.55,5141266687.85,CNY
002483.SZ,20241231,其他(行业),I,96571345.03,73732368.09,22838976.94,CNY
002483.SZ,20241231,危废处置收入,P,404887640.67,,,CNY
002483.SZ,20241231,节能环保行业,I,693426039.56,207845055.62,485580983.94,CNY
002483.SZ,20241231,通用设备制造行业其他,P,55676955.43,,,CNY
002483.SZ,20241231,其他主营业务,P,96571345.03,73732368.09,22838976.94,CNY
002483.SZ,20241231,中国大陆,D,1608537748.66,486856385.53,1121681363.13,CNY
002483.SZ,20241231,直销,455006000,8223988509.06,1961040458.08,6262948050.98,CNY
002483.SZ,20241231,污泥处理,P,102239670.91,,,CNY
002483.SZ,20241231,起重装备,P,5894429527.76,1379661763.95,4514767763.81,CNY
002483.SZ,20241231,再生能源热电,P,186298727.98,,,CNY
002483.SZ,20241231,海洋工程装备及配套装备,P,681575276.43,,,CNY
002483.SZ,20240630,通用设备制造业(行业),I,2732894134.3,465337933.85,2267556200.45,CNY
002483.SZ,20240630,污泥处理,P,55917568.99,,,CNY
002483.SZ,20240630,通用设备制造行业其他,P,7978464.28,,,CNY
002483.SZ,20240630,其他业务收入,P,57005214.97,46224574.0,10780640.97,CNY
002483.SZ,20240630,通用设备制造业,I,2732894134.3,465337933.85,2267556200.45,CNY
002483.SZ,20240630,危废处置收入,P,199816506.13,,,CNY
002483.SZ,20240630,其他业务收入(行业),I,57005214.97,46224574.0,10780640.97,CNY
002483.SZ,20240630,再生能源热电,P,103660814.83,,,CNY
002483.SZ,20240630,海洋工程装备及配套装备,P,349819545.77,97685229.7,252134316.07,CNY
002483.SZ,20240630,中国大陆,D,842877435.47,259048263.09,583829172.38,CNY
002483.SZ,20240630,起重装备,P,1801371556.6,268773567.97,1532597988.63,CNY
002483.SZ,20240630,船舶配套装备,P,573724567.65,95494326.49,478230241.16,CNY
002483.SZ,20240630,节能环保行业,I,359394889.95,114086875.43,245308014.52,CNY
002483.SZ,20240630,国外,D,2306416803.75,366601120.19,1939815683.56,CNY
002483.SZ,20231231,通用设备制造行业其他,P,68098829.14,,,CNY
002483.SZ,20231231,通用设备制造业,I,6334436968.89,1210283516.21,5124153452.68,CNY
002483.SZ,20231231,海洋工程装备及配套装备,P,1439434679.4,276643504.59,1162791174.81,CNY
002483.SZ,20231231,其他业务收入(行业),I,126558157.6,83378535.8,43179621.8,CNY
002483.SZ,20231231,船舶配套装备,P,715191872.19,,,CNY
002483.SZ,20231231,节能环保行业,I,721681190.55,173516760.55,548164430.0,CNY
002483.SZ,20231231,其他业务收入,P,126558157.6,83378535.8,43179621.8,CNY
002483.SZ,20231231,起重装备,P,4111711588.16,779472515.37,3332239072.79,CNY
002483.SZ,20231231,国外,D,4963121823.45,910820698.05,4052301125.4,CNY
002483.SZ,20231231,中国大陆,D,2219554493.59,556358114.51,1663196379.08,CNY
002483.SZ,20231231,其他收入-产品,P,126558157.6,83378535.8,43179621.8,CNY
002483.SZ,20231231,再生能源热电,P,210519001.01,,,CNY
002483.SZ,20231231,污泥处理,P,97769488.7,,,CNY
002483.SZ,20231231,危废处置收入,P,413392700.84,,,CNY
002483.SZ,20231231,通用设备制造业(行业),I,6334436968.89,1210283516.21,5124153452.68,CNY
002483.SZ,20230630,危废处置收入,P,218446801.63,65814378.79,152632422.84,CNY
002483.SZ,20230630,船舶配套装备,P,185363076.3,,,CNY
002483.SZ,20230630,污泥处理,P,62189235.44,,,CNY
002483.SZ,20230630,海洋工程装备及配套装备,P,972651889.7,180662426.65,791989463.05,CNY
002483.SZ,20230630,起重装备,P,1409041761.57,207454553.31,1201587208.26,CNY
002483.SZ,20230630,其他(行业),I,61256199.94,38802095.3,22454104.64,CNY
002483.SZ,20230630,立体停车设备及其他,P,23472823.07,,,CNY
002483.SZ,20230630,再生能源热电,P,102608587.61,,,CNY
002483.SZ,20230630,其他主营业务,P,61256199.94,,,CNY
