ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
000070.SZ,20250630,中国大陆,D,1461588830.75,224003861.43,1237584969.32,CNY
000070.SZ,20250630,通信及相关设备制造业,I,1935079427.54,392606775.07,1542472652.47,CNY
000070.SZ,20250630,线缆板块,P,1556975821.52,326102109.83,1230873711.69,CNY
000070.SZ,20250630,通信及相关设备制造业,I,1935079427.54,392606775.07,1542472652.47,CNY
000070.SZ,20250630,智慧服务,P,195427937.27,-6925737.04,202353674.31,CNY
000070.SZ,20250630,物业租赁业务,P,37242126.33,16822055.42,20420070.91,CNY
000070.SZ,20250630,材料销售及其他,P,48371450.24,9111439.07,39260011.17,CNY
000070.SZ,20250630,电子设备产品,P,134304218.51,64318963.21,69985255.3,CNY
000070.SZ,20250630,线缆板块,P,1556975821.52,326102109.83,1230873711.69,CNY
000070.SZ,20250630,物业租赁,I,37242126.33,16822055.42,20420070.91,CNY
000070.SZ,20250630,国外,D,510732723.12,185424969.06,325307754.06,CNY
000070.SZ,20250630,智慧服务,P,195427937.27,-6925737.04,202353674.31,CNY
000070.SZ,20250630,国外,D,510732723.12,185424969.06,325307754.06,CNY
000070.SZ,20250630,材料销售及其他,P,48371450.24,9111439.07,39260011.17,CNY
000070.SZ,20250630,物业租赁业务,P,37242126.33,16822055.42,20420070.91,CNY
000070.SZ,20250630,中国大陆,D,1461588830.75,224003861.43,1237584969.32,CNY
000070.SZ,20250630,物业租赁,I,37242126.33,16822055.42,20420070.91,CNY
000070.SZ,20250630,电子设备产品,P,134304218.51,64318963.21,69985255.3,CNY
000070.SZ,20241231,智慧服务,P,917375846.58,12183284.1,905192562.48,CNY
000070.SZ,20241231,物业租赁业务,P,84262440.55,47771560.53,36490880.02,CNY
000070.SZ,20241231,电子设备产品,P,379965746.08,123178062.47,256787683.61,CNY
000070.SZ,20241231,直销,455006000,4409404867.78,733466782.76,3675938085.02,CNY
000070.SZ,20241231,通信及相关设备制造业,I,4325142427.23,685695222.23,3639447205.0,CNY
000070.SZ,20241231,线缆板块,P,2930595892.4,530794465.96,2399801426.44,CNY
000070.SZ,20241231,中国大陆,D,3842233084.01,564077766.48,3278155317.53,CNY
000070.SZ,20241231,国外,D,567171783.77,169389016.28,397782767.49,CNY
000070.SZ,20241231,材料销售及其他,P,97204942.17,19539409.7,77665532.47,CNY
000070.SZ,20241231,物业租赁,I,84262440.55,47771560.53,36490880.02,CNY
000070.SZ,20240630,中国大陆,D,2033224814.84,193134361.4,1840090453.44,CNY
000070.SZ,20240630,国外,D,359319581.49,110443370.94,248876210.55,CNY
000070.SZ,20240630,物业租赁业务,P,47059926.53,26619672.65,20440253.88,CNY
000070.SZ,20240630,智慧服务,P,189628236.06,-724899.61,190353135.67,CNY
000070.SZ,20240630,其他业务(地区),D,,,-923456.48,CNY
000070.SZ,20240630,材料销售及其他,P,40029251.69,5216571.96,34812679.73,CNY
000070.SZ,20240630,光传输设备,P,1040449425.75,61748845.87,978700579.88,CNY
000070.SZ,20240630,光纤光缆,P,987267516.14,179911330.06,807356186.08,CNY
000070.SZ,20240630,其他业务,P,,,-923456.48,CNY
000070.SZ,20240630,电子设备销售,P,88110040.16,30806211.41,57303828.75,CNY
000070.SZ,20240630,物业租赁,I,47059926.53,26619672.65,20440253.88,CNY
000070.SZ,20240630,通信及相关设备制造业,I,2345484469.8,276958059.69,2068526410.11,CNY
000070.SZ,20231231,电子设备销售,P,317657958.81,131378096.06,186279862.75,CNY
000070.SZ,20231231,国外,D,770861892.96,235571706.51,535290186.45,CNY
000070.SZ,20231231,物业租赁,I,109074324.79,67977761.88,41096562.91,CNY
000070.SZ,20231231,光纤光缆,P,2082301257.13,370775936.53,1711525320.6,CNY
000070.SZ,20231231,材料销售及其他,P,89436398.98,31061734.56,58374664.42,CNY
000070.SZ,20231231,智慧服务,P,534620031.88,29751911.39,504868120.49,CNY
000070.SZ,20231231,光传输设备,P,1804199717.73,107576939.14,1696622778.59,CNY
000070.SZ,20231231,中国大陆,D,4166427796.36,502950673.05,3663477123.31,CNY
000070.SZ,20231231,物业租赁业务,P,109074324.79,67977761.88,41096562.91,CNY
000070.SZ,20231231,通信及相关设备制造业,I,4828215364.53,670544617.68,4157670746.85,CNY
000070.SZ,20230630,中国大陆,D,2017116513.66,226434277.17,1790682236.49,CNY
000070.SZ,20230630,其他业务,P,108160209.04,43374160.27,64786048.77,CNY
000070.SZ,20230630,电子设备销售,P,114017716.77,55766559.4,58251157.37,CNY
000070.SZ,20230630,智慧服务,P,369036256.79,745895.79,368290361.0,CNY
000070.SZ,20230630,光纤光缆,P,816329558.54,131662114.4,684667444.14,CNY
000070.SZ,20230630,通信及相关设备制造业,I,2232732545.51,234175766.88,1998556778.63,CNY
000070.SZ,20230630,物业租赁,I,52696957.47,-12089091.3,64786048.77,CNY
000070.SZ,20230630,国外,D,323776240.89,51115649.98,272660590.91,CNY
000070.SZ,20230630,光传输设备,P,933349013.41,46001197.29,887347816.12,CNY
000070.SZ,20221231,国外,D,749813788.24,168564643.12,581249145.12,CNY
000070.SZ,20221231,光纤光缆,P,1682802438.63,254860147.64,1427942290.99,CNY
000070.SZ,20221231,电子设备销售,P,341736906.48,173468890.64,168268015.84,CNY
000070.SZ,20221231,物业租赁产品,P,110120635.29,68887669.46,41232965.83,CNY
000070.SZ,20221231,中国大陆,D,3441797442.58,498788458.56,2943008984.02,CNY
000070.SZ,20221231,物业租赁,I,110120635.29,68887669.46,41232965.83,CNY
000070.SZ,20221231,物业租赁业务,P,110120635.29,68887669.46,41232965.83,CNY
000070.SZ,20221231,智慧服务,P,351417809.72,45179892.29,306237917.43,CNY
000070.SZ,20221231,材料销售及其他,P,78990663.3,26601056.47,52389606.83,CNY
000070.SZ,20221231,通信及相关设备制造业,I,4002499932.23,571864375.75,3430635556.48,CNY
000070.SZ,20221231,光传输设备,P,1626542777.4,98355445.18,1528187332.22,CNY
000070.SZ,20220630,材料销售,P,34089053.73,9687544.04,24401509.69,CNY
000070.SZ,20220630,光纤光缆,P,758233093.95,109454297.27,648778796.68,CNY
000070.SZ,20220630,物业租赁业务,P,62566966.62,35742689.86,26824276.76,CNY
000070.SZ,20220630,物业租赁,I,62566966.62,35742689.86,26824276.76,CNY
000070.SZ,20220630,光传输设备,P,619369725.76,31990954.96,587378770.8,CNY
000070.SZ,20220630,中国大陆,D,1553773836.18,235360302.09,1318413534.09,CNY
000070.SZ,20220630,电子设备销售,P,118610813.25,60718398.56,57892414.69,CNY
000070.SZ,20220630,通信及相关设备制造业,I,1824068812.35,239804081.45,1584264730.9,CNY
000070.SZ,20220630,国外,D,332861942.79,40186469.22,292675473.57,CNY
000070.SZ,20220630,物业租赁产品,P,62566966.62,35742689.86,26824276.76,CNY
000070.SZ,20220630,智慧服务,P,293766125.66,27952886.62,265813239.04,CNY
000070.SZ,20211231,电子设备销售,P,427272007.78,199702548.9,227569458.88,CNY
000070.SZ,20211231,物业租赁,I,110075063.5,65156967.71,44918095.79,CNY
000070.SZ,20211231,物业租赁产品,P,110075063.5,65156967.71,44918095.79,CNY
000070.SZ,20211231,通信及相关设备制造业,I,4406528350.51,358048746.52,4048479603.99,CNY
000070.SZ,20211231,物业租赁业务,P,110075063.5,65156967.71,44918095.79,CNY
000070.SZ,20211231,国外,D,495404542.18,105578709.39,389825832.79,CNY
000070.SZ,20211231,光传输设备,P,1159879039.98,74449196.54,1085429843.44,CNY
000070.SZ,20211231,光纤光缆,P,1490256999.12,-52620821.66,1542877820.78,CNY
000070.SZ,20211231,材料销售及其他,P,74235088.19,100788698.83,-26553610.64,CNY
000070.SZ,20211231,中国大陆,D,4095433960.02,418415703.67,3677018256.35,CNY
000070.SZ,20211231,智慧服务,P,1329120303.63,136517822.74,1192602480.89,CNY
000070.SZ,20210630,物业租赁,I,62170177.13,38785239.89,23384937.24,CNY
000070.SZ,20210630,物业租赁产品,P,62170177.13,38785239.89,23384937.24,CNY
000070.SZ,20210630,中国大陆,D,2069562292.86,234999081.47,1834563211.39,CNY
000070.SZ,20210630,智慧服务,P,950421311.88,88954776.77,861466535.11,CNY
000070.SZ,20210630,国外,D,209027378.52,43241118.25,165786260.27,CNY
000070.SZ,20210630,光纤、光缆,P,606671435.7,80346670.7,526324765.0,CNY
000070.SZ,20210630,材料销售及其他,P,16897948.5,2671673.61,14226274.89,CNY
000070.SZ,20210630,光传输设备,P,538455288.34,8175132.03,530280156.31,CNY
000070.SZ,20210630,物业租赁业务,P,62170177.13,38785239.89,23384937.24,CNY
000070.SZ,20210630,电子设备销售,P,120871458.33,61978380.33,58893078.0,CNY
000070.SZ,20210630,光纤光缆,P,606671435.7,80346670.7,526324765.0,CNY
000070.SZ,20210630,通信及相关设备制造业,I,2216419494.25,239454959.83,1976964534.42,CNY
000070.SZ,20210630,其他业务(地区),D,16897948.5,2671673.61,14226274.89,CNY
000070.SZ,20201231,中国大陆,D,4201768540.84,735102917.27,3466665623.57,CNY
000070.SZ,20201231,物业租赁产品,P,94074361.05,48578873.64,45495487.41,CNY
000070.SZ,20201231,光纤光缆,P,1372346303.06,304026257.81,1068320045.25,CNY
000070.SZ,20201231,物业租赁业务,P,94074361.05,48578873.64,45495487.41,CNY
000070.SZ,20201231,物业租赁,I,94074361.05,48578873.64,45495487.41,CNY
000070.SZ,20201231,通信及相关设备制造业,I,4628353896.47,833339503.86,3795014392.61,CNY
000070.SZ,20201231,电子设备销售,P,406013416.18,225541150.77,180472265.41,CNY
000070.SZ,20201231,光纤、光缆,P,1372346303.06,304026257.81,1068320045.25,CNY
000070.SZ,20201231,光传输设备,P,1524898793.08,166541670.81,1358357122.27,CNY
000070.SZ,20201231,智慧服务,P,1275962780.53,127654204.04,1148308576.49,CNY
000070.SZ,20201231,国外,D,520659716.68,146815460.23,373844256.45,CNY
000070.SZ,20201231,材料销售及其他,P,49132603.62,9576220.43,39556383.19,CNY
