ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
601857.SH,20250630,油气销售,P,1156557000000.0,33621000000.0,1122936000000.0,CNY
601857.SH,20250630,勘探与生产(行业),I,413186000000.0,141544000000.0,271642000000.0,CNY
601857.SH,20250630,其他业务,P,29392000000.0,-8029000000.0,37421000000.0,CNY
601857.SH,20250630,总部及其他,P,425000000.0,342000000.0,83000000.0,CNY
601857.SH,20250630,勘探与生产,P,413186000000.0,141544000000.0,271642000000.0,CNY
601857.SH,20250630,中国大陆,D,953605000000.0,,,CNY
601857.SH,20250630,商品销售(行业),I,1156557000000.0,33621000000.0,1122936000000.0,CNY
601857.SH,20250630,天然气与管道,P,308071000000.0,22497000000.0,285574000000.0,CNY
601857.SH,20250630,天然气与管道(行业),I,308071000000.0,22497000000.0,285574000000.0,CNY
601857.SH,20250630,其他业务(行业),I,29392000000.0,-8029000000.0,37421000000.0,CNY
601857.SH,20250630,内部抵销,P,-1009281000000.0,-11900000000.0,-997381000000.0,CNY
601857.SH,20250630,总部及其他(行业),I,425000000.0,342000000.0,83000000.0,CNY
601857.SH,20250630,炼油与化工(行业),I,551749000000.0,124880000000.0,426869000000.0,CNY
601857.SH,20250630,炼油与化工,P,551749000000.0,124880000000.0,426869000000.0,CNY
601857.SH,20250630,内部抵销(行业),I,-1009281000000.0,-11900000000.0,-997381000000.0,CNY
601857.SH,20250630,中国港澳台地区及海外地区,D,496494000000.0,,,CNY
601857.SH,20241231,油气销售,P,2425427000000.0,80926000000.0,2344501000000.0,CNY
601857.SH,20241231,商品销售(行业),I,2425427000000.0,80926000000.0,2344501000000.0,CNY
601857.SH,20241231,勘探与生产,P,884057000000.0,291450000000.0,592607000000.0,CNY
601857.SH,20241231,炼油与化工(行业),I,1186722000000.0,250674000000.0,936048000000.0,CNY
601857.SH,20241231,内部抵销,P,-2212771000000.0,-2291000000.0,-2210480000000.0,CNY
601857.SH,20241231,天然气与管道(行业),I,585991000000.0,49675000000.0,536316000000.0,CNY
601857.SH,20241231,勘探与生产(行业),I,884057000000.0,291450000000.0,592607000000.0,CNY
601857.SH,20241231,其他业务(行业),I,67491000000.0,-8359000000.0,75850000000.0,CNY
601857.SH,20241231,炼油与化工,P,1186722000000.0,250674000000.0,936048000000.0,CNY
601857.SH,20241231,总部及其他,P,1064000000.0,683000000.0,381000000.0,CNY
601857.SH,20241231,内部抵销(行业),I,-2212771000000.0,-2291000000.0,-2210480000000.0,CNY
601857.SH,20241231,其他业务,P,67491000000.0,-8359000000.0,75850000000.0,CNY
601857.SH,20241231,其他(地区),D,963781000000.0,,,CNY
601857.SH,20241231,总部及其他(行业),I,1064000000.0,683000000.0,381000000.0,CNY
601857.SH,20241231,天然气与管道,P,585991000000.0,49675000000.0,536316000000.0,CNY
601857.SH,20241231,中国大陆,D,1974200000000.0,,,CNY
601857.SH,20240630,总部及其他(行业),I,397000000.0,296000000.0,101000000.0,CNY
601857.SH,20240630,总部及其他,P,397000000.0,296000000.0,101000000.0,CNY
601857.SH,20240630,天然气与管道,P,295146000000.0,13333000000.0,281813000000.0,CNY
601857.SH,20240630,油气销售,P,1252547000000.0,38197000000.0,1214350000000.0,CNY
601857.SH,20240630,商品销售(行业),I,1252547000000.0,38197000000.0,1214350000000.0,CNY
601857.SH,20240630,中国大陆,D,980790000000.0,,,CNY
601857.SH,20240630,内部抵销,P,-1100213000000.0,4602000000.0,-1104815000000.0,CNY
601857.SH,20240630,勘探与生产(行业),I,441017000000.0,142284000000.0,298733000000.0,CNY
601857.SH,20240630,其他业务,P,32336000000.0,-1081000000.0,33417000000.0,CNY
601857.SH,20240630,内部抵销(行业),I,-1100213000000.0,4602000000.0,-1104815000000.0,CNY
601857.SH,20240630,炼油与化工,P,632639000000.0,127904000000.0,504735000000.0,CNY
601857.SH,20240630,勘探与生产,P,441017000000.0,142284000000.0,298733000000.0,CNY
601857.SH,20240630,天然气与管道(行业),I,295146000000.0,13333000000.0,281813000000.0,CNY
601857.SH,20240630,炼油与化工(行业),I,632639000000.0,127904000000.0,504735000000.0,CNY
601857.SH,20240630,其他(地区),D,573079000000.0,,,CNY
601857.SH,20231231,其他(地区),D,1010507000000.0,,,CNY
601857.SH,20231231,其他业务,P,72874000000.0,-4586000000.0,77460000000.0,CNY
601857.SH,20231231,内部抵销(行业),I,-2194874000000.0,-3788000000.0,-2191086000000.0,CNY
601857.SH,20231231,勘探与生产,P,870850000000.0,314518000000.0,556332000000.0,CNY
601857.SH,20231231,勘探与生产(行业),I,870850000000.0,314518000000.0,556332000000.0,CNY
601857.SH,20231231,炼油与化工(行业),I,1213919000000.0,274649000000.0,939270000000.0,CNY
601857.SH,20231231,内部抵销,P,-2194874000000.0,-3788000000.0,-2191086000000.0,CNY
601857.SH,20231231,炼油与化工,P,1213919000000.0,274649000000.0,939270000000.0,CNY
601857.SH,20231231,总部及其他(行业),I,1258000000.0,425000000.0,833000000.0,CNY
601857.SH,20231231,天然气与管道(行业),I,554593000000.0,39834000000.0,514759000000.0,CNY
601857.SH,20231231,油气销售,P,2492392000000.0,87575000000.0,2404817000000.0,CNY
601857.SH,20231231,商品销售(行业),I,2492392000000.0,87575000000.0,2404817000000.0,CNY
601857.SH,20231231,总部及其他,P,1258000000.0,425000000.0,833000000.0,CNY
601857.SH,20231231,中国大陆,D,2000505000000.0,,,CNY
601857.SH,20231231,天然气与管道,P,554593000000.0,39834000000.0,514759000000.0,CNY
601857.SH,20230630,内部抵销(行业),I,-1022823000000.0,,-1022823000000.0,CNY
601857.SH,20230630,中国大陆,D,954624000000.0,,,CNY
601857.SH,20230630,其他业务,P,33099000000.0,-1370000000.0,34469000000.0,CNY
601857.SH,20230630,天然气与管道,P,273819000000.0,10927000000.0,262892000000.0,CNY
601857.SH,20230630,总部及其他,P,168000000.0,49000000.0,119000000.0,CNY
601857.SH,20230630,总部及其他(行业),I,168000000.0,49000000.0,119000000.0,CNY
601857.SH,20230630,勘探与生产,P,416844000000.0,132768000000.0,284076000000.0,CNY
601857.SH,20230630,勘探与生产(行业),I,416844000000.0,132768000000.0,284076000000.0,CNY
601857.SH,20230630,油气销售,P,1207130000000.0,37000000000.0,1170130000000.0,CNY
601857.SH,20230630,商品销售(行业),I,1207130000000.0,37000000000.0,1170130000000.0,CNY
601857.SH,20230630,炼油与化工,P,571634000000.0,136030000000.0,435604000000.0,CNY
601857.SH,20230630,内部抵销,P,-1022823000000.0,,-1022823000000.0,CNY
601857.SH,20230630,炼油与化工(行业),I,571634000000.0,136030000000.0,435604000000.0,CNY
601857.SH,20230630,天然气与管道(行业),I,273819000000.0,10927000000.0,262892000000.0,CNY
601857.SH,20230630,其他(地区),D,525247000000.0,,,CNY
601857.SH,20221231,天然气与管道(行业),I,513331000000.0,13764000000.0,499567000000.0,CNY
601857.SH,20221231,总部及其他(行业),I,539000000.0,-154000000.0,693000000.0,CNY
601857.SH,20221231,其他业务,P,64459000000.0,-8941000000.0,73400000000.0,CNY
601857.SH,20221231,其他(地区),D,1350261000000.0,,,CNY
601857.SH,20221231,中国大陆,D,1888906000000.0,,,CNY
601857.SH,20221231,总部及其他,P,539000000.0,-154000000.0,693000000.0,CNY
601857.SH,20221231,炼油与化工(行业),I,1157918000000.0,261403000000.0,896515000000.0,CNY
601857.SH,20221231,炼油与化工,P,1157918000000.0,261403000000.0,896515000000.0,CNY
601857.SH,20221231,油气销售,P,2742369000000.0,101754000000.0,2640615000000.0,CNY
601857.SH,20221231,内部抵销(行业),I,-2148590000000.0,14453000000.0,-2163043000000.0,CNY
601857.SH,20221231,内部抵销,P,-2148590000000.0,14453000000.0,-2163043000000.0,CNY
601857.SH,20221231,商品销售(行业),I,2742369000000.0,101754000000.0,2640615000000.0,CNY
601857.SH,20221231,天然气与管道,P,513331000000.0,13764000000.0,499567000000.0,CNY
601857.SH,20221231,勘探与生产,P,909141000000.0,328953000000.0,580188000000.0,CNY
601857.SH,20221231,勘探与生产(行业),I,909141000000.0,328953000000.0,580188000000.0,CNY
601857.SH,20220630,炼油与化工,P,580780000000.0,126748000000.0,454032000000.0,CNY
601857.SH,20220630,油气销售,P,1342268000000.0,52973000000.0,1289295000000.0,CNY
601857.SH,20220630,总部及其他,P,206000000.0,56000000.0,150000000.0,CNY
601857.SH,20220630,其他业务(地区),D,779000000.0,,,CNY
601857.SH,20220630,其他(地区),D,686456000000.0,,,CNY
601857.SH,20220630,勘探与生产(行业),I,439108000000.0,141863000000.0,297245000000.0,CNY
601857.SH,20220630,其他业务,P,30680000000.0,-2103000000.0,32783000000.0,CNY
601857.SH,20220630,内部抵销(行业),I,-1028779000000.0,19299000000.0,-1048078000000.0,CNY
601857.SH,20220630,中国大陆,D,927388000000.0,,,CNY
601857.SH,20220630,炼油与化工(行业),I,580780000000.0,126748000000.0,454032000000.0,CNY
601857.SH,20220630,天然气与管道(行业),I,250358000000.0,12338000000.0,238020000000.0,CNY
601857.SH,20220630,总部及其他(行业),I,206000000.0,56000000.0,150000000.0,CNY
601857.SH,20220630,商品销售(行业),I,1342268000000.0,52973000000.0,1289295000000.0,CNY
601857.SH,20220630,勘探与生产,P,439108000000.0,141863000000.0,297245000000.0,CNY
601857.SH,20220630,天然气与管道,P,250358000000.0,12338000000.0,238020000000.0,CNY
601857.SH,20220630,内部抵销,P,-1028779000000.0,19299000000.0,-1048078000000.0,CNY
601857.SH,20220630,中国大陆,D,928165000000.0,,,CNY
601857.SH,20220630,其他(地区),D,686454000000.0,,,CNY
601857.SH,20211231,炼油与化工(行业),I,967723000000.0,269609000000.0,698114000000.0,CNY
601857.SH,20211231,其他(地区),D,987733000000.0,,,CNY
601857.SH,20211231,油气销售,P,2143071000000.0,67769000000.0,2075302000000.0,CNY
601857.SH,20211231,其他业务,P,62611000000.0,-3887000000.0,66498000000.0,CNY
601857.SH,20211231,天然气与管道,P,410226000000.0,23185000000.0,387041000000.0,CNY
601857.SH,20211231,中国大陆,D,1626616000000.0,,,CNY
601857.SH,20211231,天然气与管道(行业),I,410226000000.0,23185000000.0,387041000000.0,CNY
601857.SH,20211231,内部抵销(行业),I,-1639119000000.0,7352000000.0,-1646471000000.0,CNY
601857.SH,20211231,勘探与生产(行业),I,669537000000.0,178740000000.0,490797000000.0,CNY
601857.SH,20211231,总部及其他,P,300000000.0,77000000.0,223000000.0,CNY
601857.SH,20211231,总部及其他(行业),I,300000000.0,77000000.0,223000000.0,CNY
601857.SH,20211231,内部抵销,P,-1639119000000.0,7352000000.0,-1646471000000.0,CNY
601857.SH,20211231,勘探与生产,P,669537000000.0,178740000000.0,490797000000.0,CNY
601857.SH,20211231,商品销售(行业),I,2143071000000.0,67769000000.0,2075302000000.0,CNY
601857.SH,20211231,炼油与化工,P,967723000000.0,269609000000.0,698114000000.0,CNY
601857.SH,20210630,内部抵销,P,-737075000000.0,8578000000.0,-745653000000.0,CNY
601857.SH,20210630,炼油与化工,P,456129000000.0,125423000000.0,330706000000.0,CNY
601857.SH,20210630,中国大陆,D,758070000000.0,,,CNY
