ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
600796.SH,20250630,热电,P,35129514.74,-8172930.39,43302445.13,CNY
600796.SH,20250630,污水处理与自来水供应收入,P,52218622.4,38683579.82,13535042.58,CNY
600796.SH,20250630,其他业务(地区),D,3796746.92,2319799.35,1476947.57,CNY
600796.SH,20250630,生物制品业,P,140776775.06,28686245.07,112090529.99,CNY
600796.SH,20250630,污水处理,P,231898061.43,96019305.68,135878755.75,CNY
600796.SH,20250630,其他业务,P,3796746.92,2319799.35,1476947.57,CNY
600796.SH,20250630,一般废弃物收集处置收入,P,148386737.5,13477740.38,134908997.12,CNY
600796.SH,20250630,其他主营业务,P,2990471.56,941101.59,2049369.97,CNY
600796.SH,20250630,国外,D,20611355.51,4903060.49,15708295.02,CNY
600796.SH,20250630,中国大陆,D,755128477.59,195181396.3,559947081.29,CNY
600796.SH,20250630,工程安装,P,164339650.41,30449414.64,133890235.77,CNY
600796.SH,20241231,工程安装业,I,402423011.97,66970366.52,335452645.45,CNY
600796.SH,20241231,污泥清运及管道清理服务,P,9022841.75,-248636.91,9271478.66,CNY
600796.SH,20241231,水处理行业,I,96069538.71,56946977.98,39122560.73,CNY
600796.SH,20241231,国外,D,53330459.57,7766253.88,45564205.69,CNY
600796.SH,20241231,其他业务(地区),D,3583056.99,1475935.42,2107121.57,CNY
600796.SH,20241231,废弃物处理,I,327616790.39,44802153.54,282814636.85,CNY
600796.SH,20241231,垃圾焚烧,P,35867614.6,-12468620.69,48336235.29,CNY
600796.SH,20241231,污水处理,P,459958301.93,196981242.54,262977059.39,CNY
600796.SH,20241231,污水处理与自来水供应收入,P,96069538.71,56946977.98,39122560.73,CNY
600796.SH,20241231,生物制品业(行业),I,256406814.71,46849066.01,209557748.7,CNY
600796.SH,20241231,农药,P,256406814.71,46849066.01,209557748.7,CNY
600796.SH,20241231,工程安装及物资销售(产品),P,402423011.97,66970366.52,335452645.45,CNY
600796.SH,20241231,污水处理及其再生利用(4620),I,498626754.49,222677523.77,275949230.72,CNY
600796.SH,20241231,医疗业务,P,37791500.15,12185623.92,25605876.23,CNY
600796.SH,20241231,其他(行业),I,9399455.47,3180265.65,6219189.82,CNY
600796.SH,20241231,其他,P,151833837.84,33472629.0,118361208.84,CNY
600796.SH,20241231,其他业务(销售模式),455006000,3583056.99,1475935.42,2107121.57,CNY
600796.SH,20241231,餐厨垃圾处理,P,44267275.59,6678450.76,37588824.83,CNY
600796.SH,20241231,其他业务,P,3583056.99,1475935.42,2107121.57,CNY
600796.SH,20241231,中水销售,P,38668452.56,25696281.23,12972171.33,CNY
600796.SH,20241231,中国大陆,D,1711428490.32,397380579.35,1314047910.97,CNY
600796.SH,20241231,其他业务(行业),I,3583056.99,1475935.42,2107121.57,CNY
600796.SH,20241231,热电行业,I,174216584.15,-36279520.24,210496104.39,CNY
600796.SH,20241231,蒸汽,P,174216584.15,-36279520.24,210496104.39,CNY
600796.SH,20241231,油脂化工产业,P,6807218.55,2347336.24,4459882.31,CNY
600796.SH,20241231,其他主营业务,P,9399455.47,3180265.65,6219189.82,CNY
600796.SH,20241231,直销,455006000,1764758949.89,405146833.23,1359612116.66,CNY
600796.SH,20241231,垃圾填埋场,P,42026501.91,2835371.22,39191130.69,CNY
600796.SH,20240630,中国大陆,D,841746127.0,196985198.6,644760928.4,CNY
600796.SH,20240630,国外,D,19751885.97,4155497.99,15596387.98,CNY
600796.SH,20240630,其他业务(地区),D,1163228.72,637900.76,525327.96,CNY
600796.SH,20240630,热电,P,86732896.92,-19415678.43,106148575.35,CNY
600796.SH,20240630,其他主营业务,P,12221921.01,4681236.5,7540684.51,CNY
600796.SH,20240630,污水处理,P,243845990.7,99295111.91,144550878.79,CNY
600796.SH,20240630,其他业务,P,1163228.72,637900.76,525327.96,CNY
600796.SH,20240630,一般废弃物收集处置收入,P,154571962.37,19582331.79,134989630.58,CNY
600796.SH,20240630,工程安装,P,180928870.32,34279739.86,146649130.46,CNY
600796.SH,20240630,生物制品业,P,132485611.55,29366345.37,103119266.18,CNY
600796.SH,20240630,污水处理与自来水供应收入,P,50710760.1,33351609.59,17359150.51,CNY
600796.SH,20231231,油脂化工产业,P,6307691.16,1743755.34,4563935.82,CNY
600796.SH,20231231,工程安装及物资销售(产品),P,617750635.23,90253117.65,527497517.58,CNY
600796.SH,20231231,农药,P,311175074.5,111510086.15,199664988.35,CNY
600796.SH,20231231,其他,P,127585381.27,27194581.52,100390799.75,CNY
600796.SH,20231231,热电行业,I,174189644.95,-60134409.2,234324054.15,CNY
