ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
603239.SH,20241231,金属辊压件等其他配件,P,7200791.83,2154244.21,5046547.62,CNY
603239.SH,20241231,在某一时点确认收入,455006000,1191185092.2,339412541.69,851772550.51,CNY
603239.SH,20241231,塑胶密封条,P,198666611.74,72654866.9,126011744.84,CNY
603239.SH,20241231,橡胶密封条,P,985317688.63,264603430.58,720714258.05,CNY
603239.SH,20241231,其他业务(销售模式),455006000,33333427.7,24745498.65,8587929.05,CNY
603239.SH,20241231,其他业务(行业),I,33333427.7,24745498.65,8587929.05,CNY
603239.SH,20241231,其他业务(地区),D,33333427.7,24745498.65,8587929.05,CNY
603239.SH,20241231,其他业务,P,33333427.7,24745498.65,8587929.05,CNY
603239.SH,20241231,中国大陆,D,1191185092.2,339412541.69,851772550.51,CNY
603239.SH,20241231,汽车零部件,I,1191185092.2,339412541.69,851772550.51,CNY
603239.SH,20231231,汽车零部件,I,1030210954.77,290116738.86,740094215.91,CNY
603239.SH,20231231,塑胶密封条,P,208416380.09,82162601.57,126253778.52,CNY
603239.SH,20231231,橡胶密封条,P,815426481.58,206173616.62,609252864.96,CNY
603239.SH,20231231,金属辊压件等其他配件,P,6368093.1,1780520.67,4587572.43,CNY
603239.SH,20231231,中国大陆,D,1030210954.77,290116738.86,740094215.91,CNY
603239.SH,20231231,其他业务(地区),D,35544609.2,,,CNY
603239.SH,20231231,其他业务,P,35544609.2,,,CNY
603239.SH,20221231,橡胶密封条,P,721611159.91,177580927.62,544030232.29,CNY
603239.SH,20221231,汽车零部件,I,910134502.99,252895050.37,657239452.62,CNY
603239.SH,20221231,中国大陆,D,910134502.99,252895050.37,657239452.62,CNY
603239.SH,20221231,其他业务,P,26309677.91,16856936.86,9452741.05,CNY
603239.SH,20221231,其他业务(地区),D,26309677.91,16856936.86,9452741.05,CNY
603239.SH,20221231,塑胶密封条,P,185119496.66,74483718.89,110635777.77,CNY
603239.SH,20221231,金属辊压件等其他配件,P,3403846.42,830403.86,2573442.56,CNY
603239.SH,20211231,其他业务(地区),D,21729391.21,15561339.63,6168051.58,CNY
603239.SH,20211231,其他业务,P,21729391.21,15561339.63,6168051.58,CNY
603239.SH,20211231,中国大陆,D,765458075.2,259828794.14,505629281.06,CNY
603239.SH,20211231,汽车零部件,I,765458075.2,259828794.14,505629281.06,CNY
603239.SH,20211231,塑胶密封条,P,177184458.54,71468675.43,105715783.11,CNY
603239.SH,20211231,橡胶密封条,P,583719076.2,187080066.43,396639009.77,CNY
603239.SH,20211231,金属辊压件等其他配件,P,4554540.46,1280052.28,3274488.18,CNY
603239.SH,20201231,橡胶密封条,P,425731749.11,138071253.01,287660496.1,CNY
603239.SH,20201231,中国大陆,D,599172996.48,210645749.53,388527246.95,CNY
603239.SH,20201231,塑胶密封条,P,167587790.04,70715454.16,96872335.88,CNY
603239.SH,20201231,汽车零部件,I,599172996.48,210645749.53,388527246.95,CNY
603239.SH,20201231,金属辊压件等其他配件,P,5853457.33,1859042.36,3994414.97,CNY
603239.SH,20201231,其他业务,P,18701851.68,14983031.25,3718820.43,CNY
603239.SH,20201231,其他业务(地区),D,18701851.68,14983031.25,3718820.43,CNY
603239.SH,20191231,汽车零部件,I,631493933.09,226104504.96,405389428.13,CNY
603239.SH,20191231,橡胶密封条,P,450895697.59,153645154.06,297250543.53,CNY
603239.SH,20191231,中国大陆,D,631493933.09,226104504.96,405389428.13,CNY
603239.SH,20191231,塑胶密封条,P,174588503.28,70451746.44,104136756.84,CNY
603239.SH,20191231,金属辊压件等其他配件,P,6009732.21,2007604.45,4002127.76,CNY
603239.SH,20191231,其他业务,P,10985048.09,7596166.65,3388881.44,CNY
603239.SH,20191231,其他业务(地区),D,10985048.08,7596166.64,3388881.44,CNY
603239.SH,20181231,其他业务,P,20069113.76,11976423.51,8092690.25,CNY
603239.SH,20181231,其他业务(地区),D,20069113.76,11976423.5,8092690.26,CNY
603239.SH,20181231,汽车零部件,I,684419650.06,266105486.57,418314163.49,CNY
603239.SH,20181231,橡胶密封条,P,500222754.85,188548851.53,311673903.32,CNY
603239.SH,20181231,塑胶密封条,P,176105481.92,74810278.26,101295203.66,CNY
603239.SH,20181231,中国大陆,D,684419650.06,266105486.57,418314163.49,CNY
