ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
301550.SZ,20250630,国外,D,271530103.47,99090752.56,172439350.91,CNY
301550.SZ,20250630,中国大陆,D,119667326.34,37120237.28,82547089.06,CNY
301550.SZ,20250630,其他业务收入,P,3080798.39,1612191.13,1468607.26,CNY
301550.SZ,20250630,非汽车类轴承,P,3679064.42,1336208.41,2342856.01,CNY
301550.SZ,20250630,动力系统类轴承,P,20598684.34,6492243.07,14106441.27,CNY
301550.SZ,20250630,传动系统类轴承,P,49988119.8,17360525.58,32627594.22,CNY
301550.SZ,20250630,制动系统类轴承,P,313850762.86,109409821.65,204440941.21,CNY
301550.SZ,20250630,其他业务(地区),D,19376.16,,,CNY
301550.SZ,20250630,其他业务,P,19376.16,,,CNY
301550.SZ,20241231,汽车零部件制造业,I,764969597.22,245066424.22,519903173.0,CNY
301550.SZ,20241231,其他业务(行业),I,9358562.32,6757018.96,2601543.36,CNY
301550.SZ,20241231,制动系统类轴承,P,611133657.33,190590648.28,420543009.05,CNY
301550.SZ,20241231,国外,D,529411771.19,174409917.81,355001853.38,CNY
301550.SZ,20241231,传动系统类轴承,P,90844073.94,31659637.31,59184436.63,CNY
301550.SZ,20241231,非汽车类轴承,P,11573525.7,4247381.0,7326144.7,CNY
301550.SZ,20241231,中国大陆,D,244916388.35,77413525.37,167502862.98,CNY
301550.SZ,20241231,动力系统类轴承,P,51418340.25,18568757.62,32849582.63,CNY
301550.SZ,20241231,其他业务,P,9358562.32,6757018.96,2601543.36,CNY
301550.SZ,20240630,制动系统类轴承,P,276425223.33,86799548.13,189625675.2,CNY
301550.SZ,20240630,中国大陆,D,122836392.28,39012409.78,83823982.5,CNY
301550.SZ,20240630,动力系统类轴承,P,28494775.61,10191745.3,18303030.31,CNY
301550.SZ,20240630,其他业务,P,5194485.46,3736305.45,1458180.01,CNY
301550.SZ,20240630,传动系统类轴承,P,44055843.59,15537209.0,28518634.59,CNY
301550.SZ,20240630,国外,D,236911591.62,79276931.07,157634660.55,CNY
301550.SZ,20240630,非汽车类轴承,P,5577655.91,2024532.97,3553122.94,CNY
301550.SZ,20231231,传动系统类轴承,P,94975967.67,31057504.4,63918463.27,CNY
301550.SZ,20231231,制动系统类轴承,P,567408605.73,176419442.93,390989162.8,CNY
301550.SZ,20231231,汽车零部件制造业,I,729194130.82,229613927.3,499580203.52,CNY
301550.SZ,20231231,中国大陆,D,227408830.57,65888433.96,161520396.61,CNY
301550.SZ,20231231,非汽车类轴承,P,11673120.33,4391161.59,7281958.74,CNY
301550.SZ,20231231,动力系统类轴承,P,55136437.09,17745818.38,37390618.71,CNY
301550.SZ,20231231,国外,D,510714014.52,171160231.96,339553782.56,CNY
301550.SZ,20231231,其他收入-产品,P,8928714.27,7434738.62,1493975.65,CNY
301550.SZ,20231231,其他业务收入(行业),I,8928714.27,7434738.62,1493975.65,CNY
301550.SZ,20231231,其他业务收入,P,8928714.27,7434738.62,1493975.65,CNY
301550.SZ,20231231,其他业务,P,8928714.27,7434738.62,1493975.65,CNY
301550.SZ,20231231,其他业务(行业),I,8928714.27,7434738.62,1493975.65,CNY
301550.SZ,20221231,其他业务(地区),D,10970418.5,,,CNY
301550.SZ,20221231,轮毂轴承单元,P,332765662.33,89080636.48,243685025.85,CNY
301550.SZ,20221231,轮毂轴承,P,199377548.04,40301473.44,159076074.6,CNY
301550.SZ,20221231,离合器、涨紧轮及惰轮轴承,P,122471198.78,38920384.08,83550814.7,CNY
301550.SZ,20221231,圆锥轴承,P,84151344.45,19234739.52,64916604.93,CNY
301550.SZ,20221231,国外,D,525517700.0,,,CNY
301550.SZ,20221231,中国大陆,D,213248100.0,,,CNY
301550.SZ,20221231,其他业务,P,10970464.9,8822253.67,2148211.23,CNY
301550.SZ,20211231,其他业务(地区),D,15165204.55,,,CNY
301550.SZ,20211231,轮毂轴承单元,P,292249158.09,73545480.08,218703678.01,CNY
301550.SZ,20211231,轮毂轴承,P,210628331.77,39761880.31,170866451.46,CNY
301550.SZ,20211231,离合器、涨紧轮及惰轮轴承,P,113785778.07,38451519.44,75334258.63,CNY
301550.SZ,20211231,圆锥轴承,P,82857664.72,16815860.69,66041804.03,CNY
301550.SZ,20211231,国外,D,463713500.0,,,CNY
301550.SZ,20211231,中国大陆,D,235807400.0,,,CNY
301550.SZ,20211231,其他业务,P,15165171.9,12299666.24,2865505.66,CNY
301550.SZ,20210630,其他业务(地区),D,6926709.21,,,CNY
301550.SZ,20210630,国外,D,188494900.0,,,CNY
301550.SZ,20210630,中国大陆,D,124209400.0,,,CNY
301550.SZ,20210630,轮毂轴承单元,P,130653542.48,32621173.76,98032368.72,CNY
301550.SZ,20210630,轮毂轴承,P,97531376.02,19323396.68,78207979.34,CNY
301550.SZ,20210630,离合器、涨紧轮及惰轮轴承,P,53624075.75,18604581.12,35019494.63,CNY
301550.SZ,20210630,圆锥轴承,P,30895345.18,6403756.12,24491589.06,CNY
301550.SZ,20210630,其他业务,P,6926669.78,6659382.97,267286.81,CNY
301550.SZ,20201231,其他业务(地区),D,6371254.64,,,CNY
301550.SZ,20201231,轮毂轴承单元,P,213087828.59,50050232.04,163037596.55,CNY
301550.SZ,20201231,轮毂轴承,P,179097772.93,42212399.05,136885373.88,CNY
301550.SZ,20201231,国外,D,313526700.0,,,CNY
301550.SZ,20201231,中国大陆,D,205486200.0,,,CNY
301550.SZ,20201231,其他业务,P,6371237.18,4797403.92,1573833.26,CNY
301550.SZ,20201231,圆锥轴承,P,48755901.05,9046082.49,39709818.56,CNY
301550.SZ,20201231,离合器、涨紧轮及惰轮轴承,P,78071414.89,25199037.54,52872377.35,CNY
301550.SZ,20191231,国外,D,138752900.0,,,CNY
301550.SZ,20191231,中国大陆,D,168504800.0,,,CNY
301550.SZ,20191231,圆锥轴承,P,38481609.48,6962099.17,31519510.31,CNY
301550.SZ,20191231,轮毂轴承单元,P,60915354.56,12298649.43,48616705.13,CNY
301550.SZ,20191231,离合器、涨紧轮及惰轮轴承,P,81280312.16,25861900.97,55418411.19,CNY
301550.SZ,20191231,轮毂轴承,P,126580357.18,27340968.76,99239388.42,CNY
301550.SZ,20191231,其他业务,P,2868130.27,1847594.35,1020535.92,CNY
301550.SZ,20191231,其他业务(地区),D,2868063.65,,,CNY
301550.SZ,20181231,国外,D,97386400.0,,,CNY
301550.SZ,20181231,中国大陆,D,141386800.0,,,CNY
301550.SZ,20181231,轮毂轴承单元,P,39405715.65,5479418.02,33926297.63,CNY
301550.SZ,20181231,轮毂轴承,P,91020605.23,16998654.26,74021950.97,CNY
301550.SZ,20181231,离合器、涨紧轮及惰轮轴承,P,75760855.72,21782218.57,53978637.15,CNY
301550.SZ,20181231,圆锥轴承,P,32585957.83,4048409.16,28537548.67,CNY
301550.SZ,20181231,其他业务,P,1655804.63,1039929.53,615875.1,CNY
301550.SZ,20181231,其他业务(地区),D,1655739.06,,,CNY
301550.SZ,20171231,轮毂单元,P,47699058.52,6880955.11,40818103.41,CNY
301550.SZ,20171231,轴承,P,224269794.17,49333082.4,174936711.77,CNY
301550.SZ,20171231,其他业务,P,588235.82,545503.74,42732.08,CNY
301550.SZ,20161231,轮毂单元,P,23505876.54,4588454.89,18917421.65,CNY
