ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
301098.SZ,20250630,景观设计,P,1317202.79,102865.53,1214337.26,CNY
301098.SZ,20250630,工程业务,P,332208627.88,94845478.35,237363149.53,CNY
301098.SZ,20250630,西南,D,117863230.59,40090942.19,77772288.4,CNY
301098.SZ,20250630,苗木销售收入,P,261956.85,-330571.33,592528.18,CNY
301098.SZ,20250630,华东,D,10659301.17,-7631688.98,18290990.15,CNY
301098.SZ,20250630,其他(地区),D,,,162726.48,CNY
301098.SZ,20250630,华中,D,201810142.84,61754397.41,140055745.43,CNY
301098.SZ,20250630,华南,D,3838689.0,787698.01,3050990.99,CNY
301098.SZ,20250630,其他主营业务,P,383576.08,220849.6,162726.48,CNY
301098.SZ,20241231,其他业务(行业),I,637665.35,312212.39,325452.96,CNY
301098.SZ,20241231,西南,D,380676575.59,130861343.09,249815232.5,CNY
301098.SZ,20241231,园林绿化工程,I,905295279.16,273062243.39,632233035.77,CNY
301098.SZ,20241231,华南,D,19797066.96,1566225.6,18230841.36,CNY
301098.SZ,20241231,其他业务,P,637665.35,312212.39,325452.96,CNY
301098.SZ,20241231,华东,D,225151725.15,39286421.11,185865304.04,CNY
301098.SZ,20241231,景观设计,P,20405665.98,2650639.45,17755026.53,CNY
301098.SZ,20241231,其他(地区),D,729630.18,-4232484.57,4962114.75,CNY
301098.SZ,20241231,直销,455006000,905932944.51,273374455.78,632558488.73,CNY
301098.SZ,20241231,苗木销售收入,P,3510981.58,1907439.47,1603542.11,CNY
301098.SZ,20241231,华中,D,279577946.63,105892950.55,173684996.08,CNY
301098.SZ,20241231,工程业务,P,881378631.6,268504164.47,612874467.13,CNY
301098.SZ,20240630,华东,D,148810551.86,33412014.3,115398537.56,CNY
301098.SZ,20240630,其他(地区),D,210762.26,-760767.18,971529.44,CNY
301098.SZ,20240630,华南,D,18466312.64,1480957.31,16985355.33,CNY
301098.SZ,20240630,景观设计,P,10342133.95,3901015.63,6441118.32,CNY
301098.SZ,20240630,华中,D,66921844.07,20598757.56,46323086.51,CNY
301098.SZ,20240630,其他业务,P,316081.08,153354.6,162726.48,CNY
301098.SZ,20240630,工程业务,P,395907973.04,117625048.59,278282924.45,CNY
301098.SZ,20240630,西南,D,172156717.24,66948456.83,105208260.41,CNY
301098.SZ,20231231,华南,D,73391085.38,11560422.33,61830663.05,CNY
301098.SZ,20231231,西南,D,393831011.07,143482557.87,250348453.2,CNY
301098.SZ,20231231,华中,D,198229680.42,71127369.81,127102310.61,CNY
301098.SZ,20231231,苗木销售收入,P,5699864.28,264881.31,5434982.97,CNY
301098.SZ,20231231,华东,D,332586176.84,82466785.67,250119391.17,CNY
301098.SZ,20231231,其他收入-产品,P,633333.34,307880.38,325452.96,CNY
301098.SZ,20231231,工程业务,P,946111028.5,287375394.38,658735634.12,CNY
301098.SZ,20231231,景观设计,P,46560781.68,17863903.14,28696878.54,CNY
301098.SZ,20231231,其他业务收入,P,633333.34,307880.38,325452.96,CNY
301098.SZ,20231231,其他业务(行业),I,633333.34,307880.38,325452.96,CNY
301098.SZ,20231231,其他业务,P,633333.34,307880.38,325452.96,CNY
301098.SZ,20231231,园林绿化工程,I,998371674.46,305504178.83,692867495.63,CNY
301098.SZ,20231231,其他主营业务,I,633333.34,307880.38,325452.96,CNY
301098.SZ,20231231,其他(地区),D,967054.09,-2825076.47,3792130.56,CNY
301098.SZ,20230630,工程业务,P,409263379.75,,,CNY
301098.SZ,20230630,景观设计,P,19607212.95,,,CNY
301098.SZ,20230630,华东,D,151615586.75,,,CNY
301098.SZ,20230630,华南,D,51714389.19,,,CNY
301098.SZ,20230630,西南,D,153654009.22,,,CNY
