ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
300856.SZ,20250630,中国大陆,D,141011062.67,45019015.82,95992046.85,CNY
300856.SZ,20250630,精细化工,I,721068308.56,231086305.69,489982002.87,CNY
300856.SZ,20250630,其他主营业务,P,11770779.6,2391094.34,9379685.26,CNY
300856.SZ,20250630,中国大陆,D,141011062.67,45019015.82,95992046.85,CNY
300856.SZ,20250630,精细化工,I,721068308.56,231086305.69,489982002.87,CNY
300856.SZ,20250630,精细化工,I,721068308.56,231086305.69,489982002.87,CNY
300856.SZ,20250630,合成香料,P,165396349.73,36751747.65,128644602.08,CNY
300856.SZ,20250630,国外,D,580057245.89,186067289.87,393989956.02,CNY
300856.SZ,20250630,其他主营业务,P,11770779.6,2391094.34,9379685.26,CNY
300856.SZ,20250630,合成香料,P,165396349.73,36751747.65,128644602.08,CNY
300856.SZ,20250630,精细化工,I,721068308.56,231086305.69,489982002.87,CNY
300856.SZ,20250630,合成香料,P,165396349.73,36751747.65,128644602.08,CNY
300856.SZ,20250630,化妆品活性成分及其原料,P,543901179.23,191943463.7,351957715.53,CNY
300856.SZ,20250630,其他主营业务,P,11770779.6,2391094.34,9379685.26,CNY
300856.SZ,20250630,国外,D,580057245.89,186067289.87,393989956.02,CNY
300856.SZ,20250630,化妆品活性成分及其原料,P,543901179.23,191943463.7,351957715.53,CNY
300856.SZ,20250630,国外,D,580057245.89,186067289.87,393989956.02,CNY
300856.SZ,20250630,化妆品活性成分及其原料,P,543901179.23,191943463.7,351957715.53,CNY
300856.SZ,20250630,合成香料,P,165396349.73,36751747.65,128644602.08,CNY
300856.SZ,20250630,中国大陆,D,141011062.67,45019015.82,95992046.85,CNY
300856.SZ,20250630,化妆品活性成分及其原料,P,543901179.23,191943463.7,351957715.53,CNY
300856.SZ,20250630,其他主营业务,P,11770779.6,2391094.34,9379685.26,CNY
300856.SZ,20250630,国外,D,580057245.89,186067289.87,393989956.02,CNY
300856.SZ,20250630,中国大陆,D,141011062.67,45019015.82,95992046.85,CNY
300856.SZ,20241231,经销,455006000,291114184.23,109643815.01,181470369.22,CNY
300856.SZ,20241231,精细化工,I,2275984587.88,1010433658.07,1265550929.81,CNY
300856.SZ,20241231,直销,455006000,1984870403.65,900789843.06,1084080560.59,CNY
300856.SZ,20241231,合成香料,P,352142896.94,73248553.47,278894343.47,CNY
300856.SZ,20241231,其他主营业务,P,20061527.1,131240.76,19930286.34,CNY
300856.SZ,20241231,国外,D,1979365592.06,925331564.58,1054034027.48,CNY
300856.SZ,20241231,化妆品活性成分及其原料,P,1903780163.84,937053863.84,966726300.0,CNY
300856.SZ,20241231,中国大陆,D,296618995.82,85102093.49,211516902.33,CNY
300856.SZ,20240630,化妆品活性成分及其原料,P,1202351916.73,629926984.34,572424932.39,CNY
300856.SZ,20240630,精细化工,I,1404695117.82,671988898.35,732706219.47,CNY
300856.SZ,20240630,合成香料,P,192887219.92,42779704.24,150107515.68,CNY
300856.SZ,20240630,中国大陆,D,160743572.45,51682903.39,109060669.06,CNY
300856.SZ,20240630,国外,D,1243951545.37,620305994.96,623645550.41,CNY
300856.SZ,20240630,其他主营业务,P,9455981.17,-717790.23,10173771.4,CNY
300856.SZ,20231231,中国大陆,D,241407081.32,84369412.46,157037668.86,CNY
300856.SZ,20231231,国外,D,2158513136.26,1087476560.99,1071036575.27,CNY
300856.SZ,20231231,合成香料,P,308468276.59,72806689.16,235661587.43,CNY
300856.SZ,20231231,化妆品活性成分及其原料,P,2070410464.02,1098505827.44,971904636.58,CNY
300856.SZ,20231231,其他主营业务,P,21041476.97,533456.85,20508020.12,CNY
300856.SZ,20231231,精细化工,I,2399920217.58,1171845973.45,1228074244.13,CNY
300856.SZ,20230630,化妆品活性成分及其原料,P,1044920367.92,557468839.16,487451528.76,CNY
