ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
000785.SZ,20250630,租赁管理,P,2382947831.44,1055899243.58,1327048587.86,CNY
000785.SZ,20250630,其他业务(行业),I,,,31838218.98,CNY
000785.SZ,20250630,西南,D,196770673.82,,,CNY
000785.SZ,20250630,西北,D,131905076.9,,,CNY
000785.SZ,20250630,华南,D,218806505.07,,,CNY
000785.SZ,20250630,华东,D,210517095.08,,,CNY
000785.SZ,20250630,东北,D,340936693.18,,,CNY
000785.SZ,20250630,华中,D,1123810147.88,456506685.42,667303462.46,CNY
000785.SZ,20250630,华北,D,4222183485.85,791330379.02,3430853106.83,CNY
000785.SZ,20250630,装修服务(行业),I,103854891.54,6625082.57,97229808.97,CNY
000785.SZ,20250630,商品销售业,I,3630838742.34,223588601.9,3407250140.44,CNY
000785.SZ,20250630,租赁及管理(行业),I,2599911871.27,1228228860.55,1371683010.72,CNY
000785.SZ,20250630,其他主营业务,P,103545452.58,71984839.7,31560612.88,CNY
000785.SZ,20250630,贷款及保理服务,P,6778720.05,6501113.95,277606.1,CNY
000785.SZ,20250630,装修服务,P,103854891.54,6625082.57,97229808.97,CNY
000785.SZ,20250630,加盟管理,P,216964039.83,172329616.97,44634422.86,CNY
000785.SZ,20250630,商品销售,P,3630838742.34,223588601.9,3407250140.44,CNY
000785.SZ,20241231,装修服务,P,263364720.06,99628964.16,163735755.9,CNY
000785.SZ,20241231,租赁及其管理业务(销售模式),455006000,5539758325.47,2273330705.13,3266427620.34,CNY
000785.SZ,20241231,其他销售模式,455006000,669938374.61,454447559.14,215490815.47,CNY
000785.SZ,20241231,其他业务,P,406573654.55,354818594.98,51755059.57,CNY
000785.SZ,20241231,西南,D,430916168.79,,,CNY
000785.SZ,20241231,西北,D,282685131.51,,,CNY
000785.SZ,20241231,华南,D,302921264.03,,,CNY
000785.SZ,20241231,华东,D,451025830.05,,,CNY
000785.SZ,20241231,东北,D,356544253.94,,,CNY
000785.SZ,20241231,华中,D,2535391004.03,955900090.04,1579490913.99,CNY
000785.SZ,20241231,华北,D,8606429556.88,2018058946.8,6588370610.08,CNY
000785.SZ,20241231,加盟管理,P,432506701.68,338453890.11,94052811.57,CNY
000785.SZ,20241231,商品销售,P,6323709807.47,480266089.89,5843443717.58,CNY
000785.SZ,20241231,租赁管理,P,5539758325.47,2273330705.13,3266427620.34,CNY
000785.SZ,20241231,其他业务(行业),I,406573654.55,354818594.98,51755059.57,CNY
000785.SZ,20241231,装修服务(行业),I,263364720.06,99628964.16,163735755.9,CNY
000785.SZ,20241231,商品销售业,I,6323709807.47,480266089.89,5843443717.58,CNY
000785.SZ,20241231,租赁及管理(行业),I,5972265027.15,2611784595.24,3360480431.91,CNY
000785.SZ,20241231,商品销售(销售模式),455006000,6323709807.47,480266089.89,5843443717.58,CNY
000785.SZ,20241231,加盟管理业务(销售模式),455006000,432506701.68,338453890.11,94052811.57,CNY
000785.SZ,20240630,华南,D,162959483.33,,,CNY
000785.SZ,20240630,华北,D,3901932583.52,1100328115.21,2801604468.31,CNY
000785.SZ,20240630,东北,D,246194292.07,,,CNY
000785.SZ,20240630,华中,D,1400404537.41,544408252.99,855996284.42,CNY
000785.SZ,20240630,贷款及保理服务,P,19213723.31,18878958.91,334764.4,CNY
000785.SZ,20240630,加盟管理,P,208913555.12,169168877.09,39744678.03,CNY
000785.SZ,20240630,华东,D,233794886.7,,,CNY
000785.SZ,20240630,西南,D,244474444.59,,,CNY
000785.SZ,20240630,西北,D,157153046.41,,,CNY
000785.SZ,20240630,其他主营业务,P,165932129.92,100279530.3,65652599.62,CNY
000785.SZ,20240630,装修服务,P,122098569.58,22138639.86,99959929.72,CNY
000785.SZ,20240630,商品销售,P,2803862960.21,263240693.47,2540622266.74,CNY
000785.SZ,20240630,租赁管理,P,3026892335.89,1541009084.05,1485883251.84,CNY
000785.SZ,20240630,其他(行业),I,165932129.92,100279530.3,65652599.62,CNY
000785.SZ,20240630,保理及贷款业务,I,19213723.31,18878958.91,334764.4,CNY
000785.SZ,20240630,装修服务(行业),I,122098569.58,22138639.86,99959929.72,CNY
000785.SZ,20240630,商品销售业,I,2803862960.21,263240693.47,2540622266.74,CNY
000785.SZ,20240630,租赁及管理(行业),I,3235805891.01,1710177961.14,1525627929.87,CNY
000785.SZ,20231231,东北,D,457262528.17,,,CNY
000785.SZ,20231231,装修服务(行业),I,408453534.45,117153738.68,291299795.77,CNY
000785.SZ,20231231,贷款及保理服务,P,64448179.56,64103548.54,344631.02,CNY
000785.SZ,20231231,其他主营业务,P,545845689.27,496101407.95,49744281.32,CNY
000785.SZ,20231231,保理及贷款业务,I,64448179.56,64103548.54,344631.02,CNY
000785.SZ,20231231,租赁及管理(行业),I,6936939269.82,3382421949.03,3554517320.79,CNY
000785.SZ,20231231,华北,D,8294284204.55,2650268715.71,5644015488.84,CNY
000785.SZ,20231231,西北,D,357162372.22,,,CNY
000785.SZ,20231231,装修服务,P,408453534.45,117153738.68,291299795.77,CNY
000785.SZ,20231231,华中,D,2919008545.69,1016217754.29,1902790791.4,CNY
000785.SZ,20231231,其他(行业),I,545845689.27,496101407.95,49744281.32,CNY
000785.SZ,20231231,华东,D,561454268.72,,,CNY
000785.SZ,20231231,西南,D,580931167.83,,,CNY
000785.SZ,20231231,华南,D,341930486.33,,,CNY
000785.SZ,20231231,商品销售业,I,5556346900.41,549106654.11,5007240246.3,CNY
000785.SZ,20231231,加盟管理,P,509095887.21,408544235.02,100551652.19,CNY
000785.SZ,20231231,商品销售,P,5556346900.41,549106654.11,5007240246.3,CNY
000785.SZ,20231231,租赁管理,P,6427843382.61,2973877714.01,3453965668.6,CNY
000785.SZ,20230630,其他(行业),I,220581861.62,,,CNY
000785.SZ,20230630,加盟管理,P,263786096.49,,,CNY
000785.SZ,20230630,租赁及管理(行业),I,3572223049.5,1889961546.86,1682261502.64,CNY
000785.SZ,20230630,华中,D,1510806473.86,569682801.45,941123672.41,CNY
000785.SZ,20230630,保理及贷款业务,I,32171958.45,,,CNY
000785.SZ,20230630,商品销售业,I,2398159421.77,280801911.32,2117357510.45,CNY
000785.SZ,20230630,装修服务(行业),I,180289411.66,,,CNY
000785.SZ,20230630,租赁管理,P,3308436953.01,1677341225.62,1631095727.39,CNY
000785.SZ,20230630,西北,D,198211085.75,,,CNY
000785.SZ,20230630,贷款及保理服务,P,32171958.45,,,CNY
000785.SZ,20230630,西南,D,316741775.36,,,CNY
000785.SZ,20230630,商品销售,P,2398159421.77,280801911.32,2117357510.45,CNY
000785.SZ,20230630,华北,D,3664099478.21,1263691275.43,2400408202.78,CNY
000785.SZ,20230630,东北,D,250138177.2,,,CNY
000785.SZ,20230630,华东,D,292424065.1,,,CNY
000785.SZ,20230630,华南,D,171004647.52,,,CNY
000785.SZ,20230630,装修服务,P,180289411.66,,,CNY
000785.SZ,20230630,其他主营业务,P,220581861.62,,,CNY
000785.SZ,20221231,东北,D,566171825.65,,,CNY
000785.SZ,20221231,华东,D,653255425.87,,,CNY
000785.SZ,20221231,租赁管理,P,7236921441.33,4205649491.61,3031271949.72,CNY
000785.SZ,20221231,西南,D,745560399.58,,,CNY
000785.SZ,20221231,装修服务,P,362362187.04,75207171.38,287155015.66,CNY
000785.SZ,20221231,西北,D,443173149.62,,,CNY
000785.SZ,20221231,商品销售业,I,4217559542.07,560982802.49,3656576739.58,CNY
000785.SZ,20221231,华南,D,354003662.47,,,CNY
000785.SZ,20221231,加盟管理,P,629415523.32,528151411.9,101264111.42,CNY
000785.SZ,20221231,华北,D,7044637054.62,3018718571.31,4025918483.31,CNY
000785.SZ,20221231,租赁及管理(行业),I,7866336964.65,4733800903.51,3132536061.14,CNY
000785.SZ,20221231,商品销售,P,4217559542.07,560982802.49,3656576739.58,CNY
000785.SZ,20221231,华中,D,3173777596.59,1328329533.76,1845448062.83,CNY
000785.SZ,20221231,其他业务,P,534320420.64,452909193.28,81411227.36,CNY
000785.SZ,20221231,装修服务(行业),I,362362187.04,75207171.38,287155015.66,CNY
000785.SZ,20220630,商品销售业,I,1992439249.5,290288972.78,1702150276.72,CNY
000785.SZ,20220630,西北,D,210331896.0,,,CNY
000785.SZ,20220630,西南,D,375764815.54,,,CNY
000785.SZ,20220630,其他业务,P,240493810.27,230411423.25,10082387.02,CNY
000785.SZ,20220630,商品销售,P,1992439249.5,290288972.78,1702150276.72,CNY
000785.SZ,20220630,华中,D,1599807670.31,750891795.73,848915874.58,CNY
000785.SZ,20220630,华南,D,164140583.25,,,CNY
000785.SZ,20220630,东北,D,290525056.19,,,CNY
000785.SZ,20220630,华东,D,329993057.13,,,CNY
000785.SZ,20220630,租赁管理,P,3611869332.28,2098034272.42,1513835059.86,CNY
000785.SZ,20220630,华北,D,3312107661.32,1479165655.14,1832942006.18,CNY
000785.SZ,20220630,装修服务,P,123625492.81,28135329.83,95490162.98,CNY
000785.SZ,20220630,装修服务(行业),I,123625492.81,28135329.83,95490162.98,CNY
000785.SZ,20220630,加盟管理,P,314242854.88,260589392.68,53653462.2,CNY
000785.SZ,20220630,租赁及管理(行业),I,3926112187.16,2358623665.1,1567488522.06,CNY
000785.SZ,20211231,华东,D,722293052.86,,,CNY
000785.SZ,20211231,加盟管理,P,791170460.59,666366565.33,124803895.26,CNY
000785.SZ,20211231,商品销售,P,3680322328.31,621057318.66,3059265009.65,CNY
000785.SZ,20211231,东北,D,607115952.42,,,CNY
000785.SZ,20211231,装修服务(行业),I,393540932.55,86510297.14,307030635.41,CNY
000785.SZ,20211231,租赁及管理(行业),I,8206269384.81,4905116521.7,3301152863.11,CNY
000785.SZ,20211231,西南,D,770164618.85,,,CNY
000785.SZ,20211231,其他业务,P,790906077.13,680085273.8,110820803.33,CNY
000785.SZ,20211231,商品销售业,I,3680322328.31,621057318.66,3059265009.65,CNY
000785.SZ,20211231,租赁管理,P,7415098924.22,4238749956.37,3176348967.85,CNY
000785.SZ,20211231,华中,D,3207984698.65,1490577922.03,1717406776.62,CNY
000785.SZ,20211231,华北,D,6905654368.04,3233939048.98,3671715319.06,CNY
000785.SZ,20211231,华南,D,377719016.62,,,CNY
000785.SZ,20211231,装修服务,P,393540932.55,86510297.14,307030635.41,CNY
000785.SZ,20211231,西北,D,480107015.36,,,CNY
000785.SZ,20210630,租赁及管理(行业),I,3798685231.02,2150060399.3,1648624831.72,CNY
000785.SZ,20210630,西北,D,207934930.66,,,CNY
000785.SZ,20210630,华南,D,164692911.28,,,CNY
000785.SZ,20210630,其他业务,P,385506653.15,,,CNY
000785.SZ,20210630,装修服务(行业),I,146563315.69,,,CNY
000785.SZ,20210630,商品销售业,I,2273030621.48,356290032.35,1916740589.13,CNY
000785.SZ,20210630,西南,D,350440651.26,,,CNY
000785.SZ,20210630,华东,D,362558459.19,,,CNY
000785.SZ,20210630,东北,D,287243930.92,,,CNY
000785.SZ,20210630,华中,D,1574993493.83,731589409.62,843404084.21,CNY
000785.SZ,20210630,华北,D,3655921444.2,1470198803.71,2185722640.49,CNY
000785.SZ,20210630,装修服务,P,146563315.69,,,CNY
000785.SZ,20210630,加盟管理,P,326923038.63,,,CNY
000785.SZ,20210630,商品销售,P,2273030621.48,356290032.35,1916740589.13,CNY
