ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
600369.SH,20250630,其他代销,I,12012362.71,,,CNY
600369.SH,20250630,投资银行业务,P,90692417.2,16528145.04,74164272.16,CNY
600369.SH,20250630,证券经纪业务,P,818732147.41,409126496.85,409605650.56,CNY
600369.SH,20250630,手续费及佣金收入:其他业务,I,38629.55,-151556.95,190186.5,CNY
600369.SH,20250630,利息收入:买入返售金融资产:股票约定购回,I,1360924.12,,,CNY
600369.SH,20250630,证券投资业务,P,458657444.96,405656843.59,53000601.37,CNY
600369.SH,20250630,利息收入:存放金融同业,I,184318671.5,,,CNY
600369.SH,20250630,手续费及佣金收入:其他业务,I,38629.55,-151556.95,190186.5,CNY
600369.SH,20250630,利息收入:融资融券业务,I,336496585.31,,,CNY
600369.SH,20250630,手续费及佣金收入:资产管理业务,I,8765797.43,8765337.41,460.02,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代销金融产品业务-基金,I,4566708.29,,,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代销金融产品业务:其他,I,12012362.71,,,CNY
600369.SH,20250630,利息收入:买入返售金融资产:股票约定购回,I,1360924.12,,,CNY
600369.SH,20250630,证券经纪业务,P,818732147.41,409126496.85,409605650.56,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代理买卖证券业务,I,385129279.74,251714755.82,133414523.92,CNY
600369.SH,20250630,手续费及佣金收入:资产管理业务,I,8765797.43,8765337.41,460.02,CNY
600369.SH,20250630,手续费及佣金收入:基金管理业务,I,5213584.91,5213584.91,,CNY
600369.SH,20250630,投资银行业务,P,90692417.2,16528145.04,74164272.16,CNY
600369.SH,20250630,利息收入:其他债权投资,I,94447554.3,,,CNY
600369.SH,20250630,手续费及佣金收入:其他业务,I,38629.55,-151556.95,190186.5,CNY
600369.SH,20250630,利息收入:其他业务,I,405.67,,,CNY
600369.SH,20250630,手续费及佣金收入:财务顾问业务,I,46165432.38,46165432.38,,CNY
600369.SH,20250630,资产管理业务,P,9623586.79,-10259255.04,19882841.83,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:交易单元席位租赁,I,39251290.44,39251290.44,,CNY
600369.SH,20250630,其他代销,I,12012362.71,,,CNY
600369.SH,20250630,信托,I,2527341.93,,,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代理买卖证券业务,I,385129279.74,251714755.82,133414523.92,CNY
600369.SH,20250630,信托,I,2527341.93,,,CNY
600369.SH,20250630,手续费及佣金收入:期货经纪业务,I,63812586.52,21926158.1,41886428.42,CNY
600369.SH,20250630,手续费及佣金收入:其他业务,I,38629.55,-151556.95,190186.5,CNY
600369.SH,20250630,利息收入:买入返售金融资产:股权质押回购,I,45390425.12,,,CNY
600369.SH,20250630,利息收入:买入返售金融资产:股票约定购回,I,1360924.12,,,CNY
600369.SH,20250630,信托,I,2527341.93,,,CNY
600369.SH,20250630,手续费及佣金收入:资产管理业务,I,8765797.43,8765337.41,460.02,CNY
600369.SH,20250630,证券投资业务,P,458657444.96,405656843.59,53000601.37,CNY
600369.SH,20250630,利息收入:其他业务,I,405.67,,,CNY
600369.SH,20250630,利息收入:其他业务,I,405.67,,,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代销金融产品业务-基金,I,4566708.29,,,CNY
600369.SH,20250630,利息收入:融资融券业务,I,336496585.31,,,CNY
600369.SH,20250630,利息收入:其他债权投资,I,94447554.3,,,CNY
600369.SH,20250630,资产管理业务,P,9623586.79,-10259255.04,19882841.83,CNY
600369.SH,20250630,利息收入:其他债权投资,I,94447554.3,,,CNY
600369.SH,20250630,利息收入:其他业务,I,405.67,,,CNY
600369.SH,20250630,利息收入:融资融券业务,I,336496585.31,,,CNY
600369.SH,20250630,其他代销,I,12012362.71,,,CNY
600369.SH,20250630,手续费及佣金收入:证券承销业务,I,53079325.52,52487016.38,592309.14,CNY
600369.SH,20250630,证券投资业务,P,458657444.96,405656843.59,53000601.37,CNY
600369.SH,20250630,手续费及佣金收入:证券承销业务,I,53079325.52,52487016.38,592309.14,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代销金融产品业务-基金,I,4566708.29,,,CNY
600369.SH,20250630,手续费及佣金收入:证券承销业务,I,53079325.52,52487016.38,592309.14,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:交易单元席位租赁,I,39251290.44,39251290.44,,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代销金融产品业务:基金,I,4566708.29,,,CNY
600369.SH,20250630,手续费及佣金收入:基金管理业务,I,5213584.91,5213584.91,,CNY
600369.SH,20250630,证券投资业务,P,458657444.96,405656843.59,53000601.37,CNY
600369.SH,20250630,手续费及佣金收入:投资咨询业务,I,1244820.24,1244820.24,,CNY
600369.SH,20250630,资产管理业务,P,9623586.79,-10259255.04,19882841.83,CNY
600369.SH,20250630,手续费及佣金收入:期货经纪业务,I,63812586.52,21926158.1,41886428.42,CNY
600369.SH,20250630,证券经纪业务,P,818732147.41,409126496.85,409605650.56,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代理买卖证券业务,I,385129279.74,251714755.82,133414523.92,CNY
600369.SH,20250630,利息收入:买入返售金融资产:股票约定购回,I,1360924.12,,,CNY
600369.SH,20250630,其他代销,I,12012362.71,,,CNY
600369.SH,20250630,证券投资业务,P,458657444.96,405656843.59,53000601.37,CNY
600369.SH,20250630,手续费及佣金收入:资产管理业务,I,8765797.43,8765337.41,460.02,CNY
600369.SH,20250630,信托,I,2527341.93,,,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:交易单元席位租赁,I,39251290.44,39251290.44,,CNY
600369.SH,20250630,其他业务,P,125835360.78,-331700675.01,457536035.79,CNY
600369.SH,20250630,手续费及佣金收入:期货经纪业务,I,63812586.52,21926158.1,41886428.42,CNY
600369.SH,20250630,利息收入:其他业务,I,405.67,,,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代销金融产品业务:信托,I,2527341.93,,,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代销金融产品业务:基金,I,4566708.29,4566708.29,,CNY
600369.SH,20250630,手续费及佣金收入:财务顾问业务,I,46165432.38,46165432.38,,CNY
600369.SH,20250630,手续费及佣金收入:期货经纪业务,I,63812586.52,21926158.1,41886428.42,CNY
600369.SH,20250630,投资银行业务,P,90692417.2,16528145.04,74164272.16,CNY
600369.SH,20250630,其他业务,P,125835360.78,-331700675.01,457536035.79,CNY
600369.SH,20250630,信托,I,2527341.93,,,CNY
600369.SH,20250630,利息收入:买入返售金融资产:股权质押回购,I,45390425.12,,,CNY
600369.SH,20250630,投资银行业务,P,90692417.2,16528145.04,74164272.16,CNY
600369.SH,20250630,利息收入:买入返售金融资产:股权质押回购,I,45390425.12,,,CNY
600369.SH,20250630,其他业务,P,125835360.78,-331700675.01,457536035.79,CNY
600369.SH,20250630,手续费及佣金收入:证券经纪业务:代理买卖证券业务,I,385129279.74,251714755.82,133414523.92,CNY
600369.SH,20250630,利息收入:融资融券业务,I,336496585.31,,,CNY
600369.SH,20250630,其他代销,I,12012362.71,,,CNY
