ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
002912.SZ,20221027,薛尔白,M,高管,财务总监,硕士,中国,198508,20191105,20221026
002912.SZ,20211015,陈立,M,监事,监事,硕士,中国,197312,20211014,None
002912.SZ,20211015,陈外华,M,委员会成员,审计委员会委员,博士,中国,196806,20180827,20250418
002912.SZ,20211015,金波,M,监事,监事,硕士,中国,197102,20150616,None
002912.SZ,20211015,范峤峤,F,委员会成员,薪酬与考核委员会委员,硕士,中国,198712,20180827,20250418
002912.SZ,20211015,范峤峤,F,董事会成员,董事,硕士,中国,198712,20180827,20250418
002912.SZ,20211015,王明意,M,董事会成员,董事,硕士,中国,197306,20150124,20250328
002912.SZ,20211015,俞浩,F,监事,监事会主席,硕士,中国,197305,20211014,None
002912.SZ,20211015,俞浩,F,监事,监事,硕士,中国,197305,20211014,None
002912.SZ,20210925,童艺川,F,监事,职工监事,硕士,中国,197204,20150124,None
002912.SZ,20210925,杨庆威,M,监事,职工监事,硕士,中国,197012,20180809,None
002912.SZ,20210529,彭晓光,M,委员会成员,薪酬与考核委员会委员,硕士,中国,196809,20150124,20210528
002912.SZ,20210529,彭晓光,M,委员会成员,薪酬与考核委员会主任,硕士,中国,196809,20150124,20210528
002912.SZ,20210529,彭晓光,M,董事会成员,独立董事,硕士,中国,196809,20150124,20210528
002912.SZ,20210529,彭晓光,M,委员会成员,提名委员会委员,硕士,中国,196809,20150124,20210528
002912.SZ,20210529,彭晓光,M,委员会成员,战略委员会委员,硕士,中国,196809,20150124,20210528
002912.SZ,20210529,彭晓光,M,委员会成员,审计委员会委员,硕士,中国,196809,20150124,20210528
002912.SZ,20210529,刘勇,M,委员会成员,薪酬与考核委员会委员,硕士,中国,196709,20150124,20210528
002912.SZ,20210529,刘勇,M,董事会成员,独立董事,硕士,中国,196709,20150124,20210528
002912.SZ,20210529,刘勇,M,委员会成员,审计委员会委员,硕士,中国,196709,20150124,20210528
002912.SZ,20210529,刘勇,M,委员会成员,审计委员会主任,硕士,中国,196709,20150124,20210528
002912.SZ,20191106,李斌,M,高管,财务总监,本科,中国,198310,20180717,20191105
002912.SZ,20180828,马彦钊,M,监事,监事会主席,博士,中国,196309,20180827,20211013
002912.SZ,20180828,马彦钊,M,监事,监事,博士,中国,196309,20180827,20211013
002912.SZ,20180828,许光宇,M,监事,监事,硕士,中国,198102,20180827,20211013
002912.SZ,20180828,周立柱,M,董事会成员,独立董事,硕士,中国,194702,20150708,20211013
002912.SZ,20180828,周立柱,M,委员会成员,提名委员会委员,硕士,中国,194702,20150124,20211013
002912.SZ,20180828,周立柱,M,委员会成员,提名委员会主任,硕士,中国,194702,20150124,20211013
002912.SZ,20180828,周立柱,M,委员会成员,战略委员会委员,硕士,中国,194702,20150124,20211013
002912.SZ,20180810,赵鸿海,M,监事,职工监事,硕士,中国,197109,20150124,20180809
002912.SZ,20180718,唐晓峰,M,高管,财务总监,硕士,中国,197201,20150124,20180717
