ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
600916.SH,20240323,魏浩水,M,高管,总会计师,硕士,中国,1966,20210215,None
600916.SH,20240323,高博文,M,监事,监事,,中国,1989,20240322,None
600916.SH,20240323,陈军,M,高管,董事会秘书,硕士,中国,1977,20180614,None
600916.SH,20240323,陈军,M,高管,副总经理,硕士,中国,1977,20211231,None
600916.SH,20240323,金渊锚,M,监事,监事,,中国,1986,20240322,None
600916.SH,20240323,贾玉斌,M,董事会成员,董事,,中国,1970,20240322,None
600916.SH,20240323,贾玉斌,M,委员会成员,审计委员会委员,,中国,1970,20240322,None
600916.SH,20240323,缪慧频,M,委员会成员,薪酬与考核委员会委员,,中国,1963,20240322,None
600916.SH,20240323,缪慧频,M,董事会成员,独立董事,,中国,1963,20240322,None
600916.SH,20240323,缪慧频,M,委员会成员,提名委员会委员,,中国,1963,20240322,None
600916.SH,20240323,缪慧频,M,委员会成员,审计委员会委员,,中国,1963,20240322,None
600916.SH,20240323,缪慧频,M,委员会成员,审计委员会召集人,,中国,1963,20240322,None
600916.SH,20240323,王旻,M,董事会成员,独立董事,,中国,1969,20240322,None
600916.SH,20240323,王旻,M,委员会成员,提名委员会委员,,中国,1969,20240322,None
600916.SH,20240323,王旻,M,委员会成员,提名委员会召集人,,中国,1969,20240322,None
600916.SH,20240323,王旻,M,委员会成员,战略委员会委员,,中国,1969,20240322,None
600916.SH,20240323,沈冰洁,F,董事会成员,董事,,中国,1985,20240322,None
600916.SH,20240323,李晓东,M,高管,副总经理,本科,中国,1967,201905,None
600916.SH,20240323,李宏斌,M,董事会成员,董事,,中国,1967,20240322,None
600916.SH,20240323,朱然,M,董事会成员,董事,,中国,1984,20240322,None
600916.SH,20240323,曹鎏,F,委员会成员,薪酬与考核委员会委员,,中国,1983,20240322,None
600916.SH,20240323,曹鎏,F,委员会成员,薪酬与考核委员会召集人,,中国,1983,20240322,None
600916.SH,20240323,曹鎏,F,董事会成员,独立董事,,中国,1983,20240322,None
600916.SH,20240323,曹鎏,F,委员会成员,审计委员会委员,,中国,1983,20240322,None
600916.SH,20240323,成长,M,高管,副总经理,本科,中国,1978,201806,None
600916.SH,20240323,卢月荷,F,监事,监事会主席,,中国,1985,20240322,None
600916.SH,20240323,卢月荷,F,监事,监事,,中国,1985,20240322,None
600916.SH,20240323,刘科军,M,委员会成员,薪酬与考核委员会委员,,中国,1977,20230725,None
600916.SH,20240323,刘科军,M,董事会成员,董事长,,中国,1977,20230725,None
600916.SH,20240323,刘科军,M,董事会成员,董事,,中国,1977,20230719,None
600916.SH,20240323,刘科军,M,委员会成员,提名委员会委员,,中国,1977,20230725,None
600916.SH,20240323,刘科军,M,委员会成员,战略委员会委员,,中国,1977,20230725,None
600916.SH,20240323,刘科军,M,委员会成员,战略委员会召集人,,中国,1977,20230725,None
600916.SH,20240323,刘炜明,M,董事会成员,董事,硕士,中国,1985,20240322,None
600916.SH,20240323,刘炜明,M,委员会成员,战略委员会委员,硕士,中国,1985,20240322,None
600916.SH,20240323,刘炜明,M,高管,总经理,硕士,中国,1985,20211231,None
600916.SH,20231102,贺强,M,委员会成员,薪酬与考核委员会委员,本科,中国,1952,20180614,20240322
600916.SH,20231102,贺强,M,董事会成员,独立董事,本科,中国,1952,201806,20240322
600916.SH,20231102,贺强,M,委员会成员,提名委员会委员,本科,中国,1952,20180614,20240322
600916.SH,20231102,贺强,M,委员会成员,提名委员会召集人,本科,中国,1952,20180614,20240322
