ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
600999.SH,20240629,陈欣,F,委员会成员,薪酬与考核委员会委员,硕士,,196811,20240628,None
600999.SH,20240629,陈欣,F,委员会成员,薪酬与考核委员会召集人,硕士,,196811,20240628,None
600999.SH,20240629,陈欣,F,董事会成员,独立董事,硕士,,196811,20240628,None
600999.SH,20240629,陈欣,F,委员会成员,战略委员会委员,硕士,,196811,20240628,None
600999.SH,20240629,邹群,M,监事,监事,本科,中国,196610,20201030,20240628
600999.SH,20240629,王剑平,M,监事,职工监事,硕士,,197408,20240118,20240628
600999.SH,20240629,向华,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1971,20170526,20240628
600999.SH,20240629,向华,M,委员会成员,薪酬与考核委员会召集人,硕士,中国,1971,20170526,20240628
600999.SH,20240629,向华,M,董事会成员,独立董事,硕士,中国,1971,20170526,20240628
600999.SH,20240629,向华,M,委员会成员,战略委员会委员,硕士,中国,1971,20170526,20240628
600999.SH,20240306,张兴,M,高管,合规总监,硕士,,197601,20240304,None
600999.SH,20240227,张兴,M,高管,首席风险官,硕士,,197601,20240226,None
600999.SH,20240202,胡宇,M,高管,首席风险官,硕士,中国,196402,20181218,20240131
600999.SH,20240202,胡宇,M,高管,合规总监,硕士,中国,196402,20181224,20240131
600999.SH,20240119,黄坚,M,董事会成员,非执行董事,硕士,中国,196908,20120618,None
600999.SH,20240119,黄坚,M,委员会成员,审计委员会委员,硕士,中国,196908,20120810,None
600999.SH,20240119,马蕴春,M,监事,监事,硕士,中国,196802,20170526,None
600999.SH,20240119,马伯寅,M,董事会成员,非执行董事,博士,,197403,20240118,None
600999.SH,20240119,霍达,M,董事会成员,董事长,博士,中国,196805,20170526,None
600999.SH,20240119,霍达,M,高管,法定代表人,博士,中国,196805,20170526,None
600999.SH,20240119,霍达,M,委员会成员,提名委员会委员,博士,中国,196805,20200825,None
600999.SH,20240119,霍达,M,董事会成员,执行董事,博士,中国,196805,20170526,None
600999.SH,20240119,霍达,M,委员会成员,战略委员会委员,博士,中国,196805,20170526,None
600999.SH,20240119,霍达,M,委员会成员,战略委员会召集人,博士,中国,196805,20170526,None
600999.SH,20240119,邓伟栋,M,董事会成员,非执行董事,博士,中国,196707,20220429,None
600999.SH,20240119,邓伟栋,M,委员会成员,战略委员会委员,博士,中国,196707,20220513,None
600999.SH,20240119,罗莉,F,其他,董事会证券事务代表,硕士,,197601,200804,None
600999.SH,20240119,王章为,M,监事,监事,硕士,中国,197210,20170526,None
600999.SH,20240119,李晓霏,M,董事会成员,非执行董事,硕士,中国,197009,20230112,None
600999.SH,20240119,李晓霏,M,委员会成员,薪酬与考核委员会委员,硕士,中国,197009,20230112,None
