ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
002979.SZ,20230518,黄超,M,高管,副总经理,硕士,中国,197901,20230517,None
002979.SZ,20230518,田天胜,M,委员会成员,薪酬与考核委员会委员,硕士,中国,197306,20230517,None
002979.SZ,20230518,田天胜,M,委员会成员,战略委员会委员,硕士,中国,197306,20200623,None
002979.SZ,20230518,田天胜,M,高管,副总经理,硕士,中国,197306,20170611,None
002979.SZ,20230518,王宏,M,委员会成员,提名委员会委员,博士,中国,197512,20230517,None
002979.SZ,20230518,王宏,M,委员会成员,提名委员会主任,博士,中国,197512,20230517,None
002979.SZ,20230518,王宏,M,委员会成员,战略委员会委员,博士,中国,197512,20230517,None
002979.SZ,20230518,游道平,M,高管,财务总监,本科,中国,1981,20200623,None
002979.SZ,20230518,游道平,M,委员会成员,提名委员会委员,本科,中国,1981,20230517,None
002979.SZ,20230518,杨立望,M,监事,监事会主席,专科,中国,196410,20230517,None
002979.SZ,20230518,杨健,M,委员会成员,薪酬与考核委员会委员,本科,中国,1976,20230517,None
002979.SZ,20230518,杨健,M,委员会成员,审计委员会委员,本科,中国,1976,20230517,None
002979.SZ,20230518,杨健,M,委员会成员,审计委员会主任,本科,中国,1976,20230517,None
002979.SZ,20230518,李卫平,M,董事会成员,董事长,博士,中国,196207,20170611,None
002979.SZ,20230518,李卫平,M,委员会成员,战略委员会委员,博士,中国,196207,20170611,None
002979.SZ,20230518,李卫平,M,委员会成员,战略委员会主任,博士,中国,196207,20170611,None
002979.SZ,20230518,李卫平,M,高管,总经理,博士,中国,196207,20170611,None
002979.SZ,20230518,施慧敏,F,委员会成员,审计委员会委员,本科,中国,196412,20170611,None
002979.SZ,20230518,左诗语,F,其他,董事会证券事务代表,本科,中国,1992,20211025,None
002979.SZ,20230518,吴伟,M,委员会成员,薪酬与考核委员会委员,硕士,中国,196712,20230517,None
002979.SZ,20230518,吴伟,M,委员会成员,薪酬与考核委员会主任,硕士,中国,196712,20230517,None
002979.SZ,20230518,吴伟,M,委员会成员,提名委员会委员,硕士,中国,196712,20230517,None
002979.SZ,20230518,吴伟,M,委员会成员,审计委员会委员,硕士,中国,196712,20230517,None
002979.SZ,20230518,向少华,M,高管,董事会秘书,博士,中国,1975,20210303,None
002979.SZ,20230517,荣洁,M,监事,股东监事,本科,中国,1989,20230516,None
002979.SZ,20230517,田天胜,M,董事会成员,董事,硕士,中国,197306,20200623,None
002979.SZ,20230517,王宏,M,董事会成员,独立董事,博士,中国,197512,20230516,None
002979.SZ,20230517,游道平,M,董事会成员,董事,本科,中国,1981,20230516,None
002979.SZ,20230517,杨立望,M,监事,股东监事,专科,中国,196410,20230516,None
002979.SZ,20230517,杨健,M,董事会成员,独立董事,本科,中国,1976,20230516,None
002979.SZ,20230517,李卫平,M,董事会成员,董事,博士,中国,196207,20170611,None
002979.SZ,20230517,施慧敏,F,董事会成员,董事,本科,中国,196412,20170611,None
002979.SZ,20230517,吴方圆,F,监事,职工监事,专科,中国,198612,20230516,None
002979.SZ,20230517,吴伟,M,董事会成员,独立董事,硕士,中国,196712,20230516,None
002979.SZ,20220706,贺卫利,M,监事,监事会主席,本科,中国,197410,20220705,20230517
002979.SZ,20220705,黄桂香,F,监事,监事会主席,本科,中国,197103,20170611,20220704
002979.SZ,20220705,黄桂香,F,监事,监事,本科,中国,197103,20170611,20220704
002979.SZ,20220705,吴方圆,F,监事,监事,专科,中国,198612,20220704,20230516
002979.SZ,20220106,胡雅伦,M,其他,董事会证券事务代表,硕士,中国,198802,20200623,20220106
002979.SZ,20210430,王万忠,M,高管,副总经理,本科,中国,197002,20170611,20210430
002979.SZ,20210304,杨立望,M,高管,董事会秘书,专科,中国,196410,20180110,20210303
002979.SZ,20200624,贺卫利,M,监事,监事,本科,中国,197410,20200623,20230517
002979.SZ,20200624,甘璐,F,委员会成员,薪酬与考核委员会委员,本科,中国,197710,20200623,20230516
002979.SZ,20200624,甘璐,F,董事会成员,董事,本科,中国,197710,20200623,20230516
002979.SZ,20200624,甘璐,F,委员会成员,提名委员会委员,本科,中国,197710,20200623,20230516
002979.SZ,20200624,王荣俊,M,委员会成员,薪酬与考核委员会委员,本科,中国,197711,20170611,20230516
002979.SZ,20200624,王荣俊,M,董事会成员,独立董事,本科,中国,197711,20170611,20230516
002979.SZ,20200624,王荣俊,M,委员会成员,提名委员会委员,本科,中国,197711,20170611,20230516
002979.SZ,20200624,王荣俊,M,委员会成员,审计委员会委员,本科,中国,197711,20170611,20230516
002979.SZ,20200624,王荣俊,M,委员会成员,审计委员会主任,本科,中国,197711,20170611,20230516
002979.SZ,20200624,杨立望,M,高管,副总经理,专科,中国,196410,20170611,20230517
002979.SZ,20200624,李卫平,M,高管,法定代表人,博士,中国,196207,20170611,None
002979.SZ,20200624,曹军,M,委员会成员,薪酬与考核委员会委员,本科,中国,196604,20170611,20230516
002979.SZ,20200624,曹军,M,委员会成员,薪酬与考核委员会主任,本科,中国,196604,20200623,20230516
002979.SZ,20200624,曹军,M,董事会成员,独立董事,本科,中国,196604,20170611,20230516
002979.SZ,20200624,曹军,M,委员会成员,审计委员会委员,本科,中国,196604,20170611,20230516
002979.SZ,20200624,周扬忠,M,董事会成员,独立董事,博士,中国,197102,20170611,20230516
002979.SZ,20200624,周扬忠,M,委员会成员,提名委员会委员,博士,中国,197102,20200623,20230516
002979.SZ,20200624,周扬忠,M,委员会成员,提名委员会主任,博士,中国,197102,20200623,20230516
002979.SZ,20200624,周扬忠,M,委员会成员,战略委员会委员,博士,中国,197102,20170611,20230516
002979.SZ,20200530,王志伟,M,监事,职工监事,本科,中国,198303,20200528,20230516
002979.SZ,20200318,胡新武,F,高管,财务总监,硕士,中国,196910,20170611,20200622
002979.SZ,20200318,胡新武,F,董事会成员,董事,硕士,中国,196910,20170611,20200622
002979.SZ,20200318,胡新武,F,委员会成员,提名委员会委员,硕士,中国,196910,20170611,20200622
002979.SZ,20200318,胡新武,F,高管,副总经理,硕士,中国,196910,20170611,20200622
002979.SZ,20200318,甘璐,F,监事,职工监事,本科,中国,197710,20180126,20200622
002979.SZ,20200318,王荣俊,M,委员会成员,薪酬与考核委员会主任,本科,中国,197711,20170611,20200622
002979.SZ,20200318,李卫平,M,委员会成员,薪酬与考核委员会委员,博士,中国,196207,20170611,20200622
002979.SZ,20200318,曹军,M,委员会成员,提名委员会委员,本科,中国,196604,20170611,20200622
002979.SZ,20200318,曹军,M,委员会成员,提名委员会主任,本科,中国,196604,20170611,20200622
002979.SZ,20200318,张蓉,F,监事,监事,本科,中国,197405,20170611,20200622
002979.SZ,20200318,廖越平,M,董事会成员,董事,本科,中国,196503,20180126,20200622
002979.SZ,20200318,廖越平,M,委员会成员,战略委员会委员,本科,中国,196503,20180126,20200622
