ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
600609.SH,20240725,闫静,F,监事,监事,硕士,中国,1968,20220330,None
600609.SH,20240725,洪超,M,董事会成员,董事,硕士,,197710,20240724,None
600609.SH,20240725,李洁,F,监事,监事,硕士,中国,1978,20220330,None
600609.SH,20240725,刘雁冰,M,监事,监事,硕士,中国,197104,None,None
600609.SH,20240725,刘欢,F,监事,监事,硕士,中国,198812,None,None
600609.SH,20240525,孙一峰,M,董事会成员,董事,本科,中国,1979,20220519,20240525
600609.SH,20240525,孙一峰,M,委员会成员,战略委员会委员,本科,中国,1979,20220906,20240525
600609.SH,20231209,顾玉红,F,高管,副总裁,本科,中国,1975,20190806,20231208
600609.SH,20230407,崔岩,M,董事会成员,董事,本科,中国,1965,20220330,20230407
600609.SH,20230407,崔岩,M,委员会成员,战略委员会委员,本科,中国,1965,20220906,20230407
600609.SH,20220907,马铁柱,M,董事会成员,职工董事,硕士,中国,1976,20190806,None
600609.SH,20220907,陈磊,M,董事会成员,独立董事,本科,中国,1962,20220906,None
600609.SH,20220907,钟田丽,F,董事会成员,独立董事,博士,中国,1956,20220906,None
600609.SH,20220907,赵向东,M,董事会成员,董事,硕士,中国,1971,20220330,None
600609.SH,20220907,蒋骁,M,董事会成员,董事,博士,中国,1978,20220519,None
600609.SH,20220907,杨辰,F,监事,职工监事,硕士,中国,1984,20220510,None
600609.SH,20220907,杨秀丽,F,其他,董事会证券事务代表,硕士,中国,1985,20190806,None
600609.SH,20220907,曹跃云,M,董事会成员,独立董事,博士,中国,1963,20220906,None
600609.SH,20220907,张昆,M,高管,财务总监,本科,中国,1979,20190806,None
600609.SH,20220907,张昆,M,高管,副总裁,本科,中国,1979,20190806,None
600609.SH,20220907,孙学龙,M,高管,董事会秘书,本科,中国,1976,20190806,None
600609.SH,20220907,孙学龙,M,董事会成员,董事,本科,中国,1976,20220906,None
600609.SH,20220907,姚恩波,M,董事会成员,职工董事,本科,中国,1963,20190806,None
600609.SH,20220907,吴增仙,F,董事会成员,独立董事,本科,中国,1968,20220906,None
600609.SH,20220510,寇红旭,M,监事,职工监事,本科,中国,1963,20190806,20220510
600609.SH,20220421,杜宝臣,M,董事会成员,董事,本科,中国,1965,20190806,20220421
600609.SH,20220421,杜宝臣,M,委员会成员,提名委员会委员,本科,中国,1965,20190806,20220421
600609.SH,20220421,杜宝臣,M,委员会成员,战略委员会委员,本科,中国,1965,20190806,20220421
600609.SH,20220331,魏韬,M,监事,监事,硕士,中国,1972,20171214,20220330
600609.SH,20220331,贾煜,M,董事会成员,独立董事,本科,中国,1969,20220330,20220905
600609.SH,20220331,丛林,M,监事,监事会主席,博士,中国,1979,20190806,20220330
600609.SH,20220331,丛林,M,监事,监事,博士,中国,1979,20190806,20220330
600609.SH,20210820,陈红梅,F,委员会成员,薪酬与考核委员会委员,博士,中国,1975,20161227,20210820
600609.SH,20210820,陈红梅,F,董事会成员,独立董事,博士,中国,1975,20161227,20210820
600609.SH,20210820,陈红梅,F,委员会成员,提名委员会委员,博士,中国,1975,20161227,20210820
600609.SH,20210820,陈红梅,F,委员会成员,提名委员会主任,博士,中国,1975,20161227,20210820
600609.SH,20210820,陈红梅,F,委员会成员,战略委员会委员,博士,中国,1975,20161227,20210820
600609.SH,20210423,高新刚,M,董事会成员,董事,本科,中国,1970,20190806,20210423
600609.SH,20210423,高新刚,M,委员会成员,战略委员会委员,本科,中国,1970,20190806,20210423
600609.SH,20210423,胡春华,F,董事会成员,董事,硕士,中国,1967,20190806,20210423
600609.SH,20210423,胡春华,F,委员会成员,审计委员会委员,硕士,中国,1967,20190806,20210423
600609.SH,20201128,王希科,M,董事会成员,董事,硕士,中国,1960,20101126,20201128
600609.SH,20190807,马铁柱,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1976,20190806,20220905
600609.SH,20190807,马铁柱,M,委员会成员,提名委员会委员,硕士,中国,1976,20190806,20220905
600609.SH,20190807,许晓敏,M,委员会成员,审计委员会委员,硕士,中国,1964,20190806,20220905
600609.SH,20190807,李卓,F,董事会成员,独立董事,博士,中国,1973,20150428,20220905
600609.SH,20190807,李卓,F,委员会成员,提名委员会委员,博士,中国,1973,20161227,20220905
600609.SH,20190807,李卓,F,委员会成员,审计委员会委员,博士,中国,1973,20151218,20220905
600609.SH,20190807,姚恩波,M,委员会成员,薪酬与考核委员会委员,本科,中国,1963,20190806,20220905
600609.SH,20190807,哈刚,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1966,20161227,20220905
600609.SH,20190807,哈刚,M,委员会成员,薪酬与考核委员会主任,硕士,中国,1966,20161227,20220905
600609.SH,20190807,哈刚,M,董事会成员,独立董事,硕士,中国,1966,20161227,20220905
600609.SH,20190807,哈刚,M,委员会成员,审计委员会委员,硕士,中国,1966,20161227,20220905
600609.SH,20190807,吴粒,F,委员会成员,薪酬与考核委员会委员,硕士,中国,1966,20161227,20220905
600609.SH,20190807,吴粒,F,董事会成员,独立董事,硕士,中国,1966,20161227,20220905
600609.SH,20190807,吴粒,F,委员会成员,提名委员会委员,硕士,中国,1966,20161227,20220905
600609.SH,20190807,吴粒,F,委员会成员,审计委员会委员,硕士,中国,1966,20161227,20220905
600609.SH,20190807,吴粒,F,委员会成员,审计委员会主任,硕士,中国,1966,20161227,20220905
600609.SH,20190807,刘同富,M,董事会成员,董事长,硕士,中国,1964,20190528,20220905
600609.SH,20190807,刘同富,M,董事会成员,董事,硕士,中国,1964,20131225,20220905
600609.SH,20190807,刘同富,M,高管,法定代表人,硕士,中国,1964,20190528,20220905
600609.SH,20190807,刘同富,M,委员会成员,战略委员会委员,硕士,中国,1964,20190806,20220905
600609.SH,20190807,刘同富,M,委员会成员,战略委员会主任,硕士,中国,1964,20190806,20220905
600609.SH,20190529,刘鹏程,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1967,20160906,20190528
600609.SH,20190529,刘鹏程,M,董事会成员,董事长,硕士,中国,1967,20160817,20190528
600609.SH,20190529,刘鹏程,M,董事会成员,董事,硕士,中国,1967,20051202,20190528
600609.SH,20190529,刘鹏程,M,高管,法定代表人,硕士,中国,1967,20160817,20190528
600609.SH,20190529,刘鹏程,M,委员会成员,提名委员会委员,硕士,中国,1967,20151218,20190528
600609.SH,20190529,刘鹏程,M,委员会成员,战略委员会委员,硕士,中国,1967,20101126,20190528
600609.SH,20190529,刘鹏程,M,委员会成员,战略委员会主任,硕士,中国,1967,20160906,20190528
600609.SH,20180705,许晓敏,M,高管,副总裁,硕士,中国,1964,20150811,20180703
600609.SH,20180705,刘宏,M,高管,总裁,硕士,中国,1965,20151218,20180703
