ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
002199.SZ,20240521,黄雄,M,委员会成员,薪酬与考核委员会委员,本科,中国,1963,20230519,20240520
002199.SZ,20240521,黄雄,M,董事会成员,独立董事,本科,中国,1963,20200511,20240520
002199.SZ,20240521,黄雄,M,委员会成员,提名委员会委员,本科,中国,1963,20200511,20240520
002199.SZ,20240521,黄雄,M,委员会成员,提名委员会主任,本科,中国,1963,20200511,20240520
002199.SZ,20240521,陈雄武,M,董事会成员,独立董事,硕士,中国,1962,20200511,20240520
002199.SZ,20240521,陈雄武,M,委员会成员,战略委员会委员,硕士,中国,1962,20230519,20240520
002199.SZ,20240521,陈雄武,M,委员会成员,审计委员会委员,硕士,中国,1962,20200511,20240520
002199.SZ,20240521,冯骊玲,F,委员会成员,薪酬与考核委员会委员,本科,中国,1969,20240520,None
002199.SZ,20240521,冯骊玲,F,董事会成员,独立董事,本科,中国,1969,20240520,None
002199.SZ,20240521,冯骊玲,F,委员会成员,提名委员会委员,本科,中国,1969,20240520,None
002199.SZ,20240521,冯骊玲,F,委员会成员,提名委员会主任,本科,中国,1969,20240520,None
002199.SZ,20240521,傅宝善,M,董事会成员,独立董事,本科,中国,1964,20240520,None
002199.SZ,20240521,傅宝善,M,委员会成员,战略委员会委员,本科,中国,1964,20240520,None
002199.SZ,20240521,傅宝善,M,委员会成员,审计委员会委员,本科,中国,1964,20240520,None
002199.SZ,20240418,王皓,M,委员会成员,审计委员会委员,硕士,中国,1988,20170214,20240416
002199.SZ,20240418,潘从文,M,委员会成员,审计委员会委员,博士,中国,1973,20240416,None
002199.SZ,20230520,黄文俊,M,监事,职工监事,专科,中国,1980,20151127,None
002199.SZ,20230520,黄娉,F,其他,董事会证券事务代表,本科,中国,1989,20181024,None
002199.SZ,20230520,茹雯燕,F,委员会成员,薪酬与考核委员会委员,硕士,中国,1980,20180809,None
002199.SZ,20230520,茹雯燕,F,董事会成员,董事,硕士,中国,1980,20180720,None
002199.SZ,20230520,茹雯燕,F,委员会成员,战略委员会委员,硕士,中国,1980,20180809,None
002199.SZ,20230520,胡静雯,F,高管,财务总监,硕士,中国,1976,20180809,None
002199.SZ,20230520,石佳霖,M,高管,董事会秘书,本科,中国,1987,20200827,None
002199.SZ,20230520,王皓,M,董事会成员,董事长,硕士,中国,1988,20170406,None
002199.SZ,20230520,王皓,M,董事会成员,董事,硕士,中国,1988,20170209,None
002199.SZ,20230520,王皓,M,委员会成员,提名委员会委员,硕士,中国,1988,20170214,None
002199.SZ,20230520,王皓,M,委员会成员,战略委员会委员,硕士,中国,1988,20170406,None
002199.SZ,20230520,王皓,M,委员会成员,战略委员会主任,硕士,中国,1988,20170406,None
002199.SZ,20230520,王皓,M,高管,总经理,硕士,中国,1988,20180809,None
002199.SZ,20230520,潘从文,M,委员会成员,薪酬与考核委员会委员,博士,中国,1973,20230519,None
002199.SZ,20230520,潘从文,M,委员会成员,薪酬与考核委员会主任,博士,中国,1973,20230519,None
002199.SZ,20230520,潘从文,M,董事会成员,独立董事,博士,中国,1973,20230519,None
002199.SZ,20230520,潘从文,M,委员会成员,提名委员会委员,博士,中国,1973,20230519,None
002199.SZ,20230520,朱拓,M,监事,监事会主席,硕士,中国,1985,20180720,None
002199.SZ,20230520,朱拓,M,监事,监事,硕士,中国,1985,20180720,None
002199.SZ,20230520,巢序,M,董事会成员,独立董事,本科,中国,1971,20170209,20230519
002199.SZ,20230520,巢序,M,委员会成员,战略委员会委员,本科,中国,1971,20170214,20230519
002199.SZ,20230520,巢序,M,委员会成员,审计委员会委员,本科,中国,1971,20170214,20230519
002199.SZ,20230520,巢序,M,委员会成员,审计委员会主任,本科,中国,1971,20170214,20230519
002199.SZ,20230520,华枫,F,监事,监事,硕士,中国,197903,20220519,None
002199.SZ,20230520,严臻,M,董事会成员,独立董事,本科,中国,1977,20230519,None
002199.SZ,20230520,严臻,M,委员会成员,审计委员会委员,本科,中国,1977,20230519,None
002199.SZ,20230520,严臻,M,委员会成员,审计委员会主任,本科,中国,1977,20230519,None
002199.SZ,20220520,黄忆宁,M,监事,监事,本科,中国,1973,20180720,20220519
002199.SZ,20200831,王皓,M,高管,代董事会秘书,硕士,中国,1988,20200306,20200827
002199.SZ,20200512,陈雄武,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1962,20200511,20230519
002199.SZ,20200512,袁燕,F,董事会成员,董事,本科,中国,1986,20180720,20230519
002199.SZ,20200512,王皓,M,高管,法定代表人,硕士,中国,1988,20170406,None
002199.SZ,20200512,徐杰震,M,委员会成员,薪酬与考核委员会委员,本科,中国,1962,20130828,20200510
002199.SZ,20200512,徐杰震,M,委员会成员,提名委员会委员,本科,中国,1962,20130828,20200510
002199.SZ,20200512,徐杰震,M,委员会成员,提名委员会主任,本科,中国,1962,20160829,20200510
002199.SZ,20200512,徐杰震,M,委员会成员,审计委员会委员,本科,中国,1962,20130828,20200510
002199.SZ,20200512,尤挺辉,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1975,20171023,20230519
002199.SZ,20200512,尤挺辉,M,委员会成员,薪酬与考核委员会主任,硕士,中国,1975,20171023,20230519
002199.SZ,20200512,尤挺辉,M,董事会成员,独立董事,硕士,中国,1975,20170717,20230519
002199.SZ,20200512,尤挺辉,M,委员会成员,提名委员会委员,硕士,中国,1975,20171023,20230519
002199.SZ,20200307,陈坤,M,高管,董事会秘书,硕士,中国,198203,20181024,20200306
002199.SZ,20181026,王皓,M,高管,代董事会秘书,硕士,中国,1988,20180419,20181024
002199.SZ,20180810,王皓,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1988,20170214,20180809
002199.SZ,20180810,周宏斌,M,委员会成员,战略委员会委员,硕士,中国,1976,20160829,20180809
002199.SZ,20180721,钱建昀,M,监事,监事会主席,硕士,中国,1972,20160829,20180720
002199.SZ,20180721,钱建昀,M,监事,监事,硕士,中国,1972,20130828,20180720
002199.SZ,20180721,郭雄伟,M,监事,监事,硕士,中国,1977,20130828,20180720
