ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
301098.SZ,20240510,梁珍海,M,委员会成员,薪酬与考核委员会委员,博士,中国,1965,20201225,20240510
301098.SZ,20240510,梁珍海,M,委员会成员,薪酬与考核委员会主任,博士,中国,1965,20201225,20240510
301098.SZ,20240510,梁珍海,M,董事会成员,独立董事,博士,中国,1965,20180803,20240510
301098.SZ,20240510,梁珍海,M,委员会成员,提名委员会委员,博士,中国,1965,20240117,20240510
301098.SZ,20240510,梁珍海,M,委员会成员,提名委员会主任,博士,中国,1965,20240117,20240510
301098.SZ,20240510,梁珍海,M,委员会成员,战略委员会委员,博士,中国,1965,20201225,20240510
301098.SZ,20240510,任全进,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1969,20240510,None
301098.SZ,20240510,任全进,M,委员会成员,薪酬与考核委员会主任,硕士,中国,1969,20240510,None
301098.SZ,20240510,任全进,M,董事会成员,独立董事,硕士,中国,1969,20240510,None
301098.SZ,20240510,任全进,M,委员会成员,提名委员会委员,硕士,中国,1969,20240510,None
301098.SZ,20240510,任全进,M,委员会成员,提名委员会主任,硕士,中国,1969,20240510,None
301098.SZ,20240510,任全进,M,委员会成员,战略委员会委员,硕士,中国,1969,20240510,None
301098.SZ,20240419,朱宽亮,M,高管,副总经理,硕士,中国,1981,20240417,None
301098.SZ,20240118,陈柳,M,委员会成员,战略委员会委员,博士,中国,1979,20240117,None
301098.SZ,20240118,陈柳,M,委员会成员,审计委员会委员,博士,中国,1979,20240117,None
301098.SZ,20240118,金宇西,M,高管,财务负责人,本科,中国,1985,20230424,None
301098.SZ,20240118,窦逗,F,高管,常务副总经理,硕士,中国,1983,20240117,None
301098.SZ,20240118,王宜森,M,董事会成员,董事长,本科,中国,1963,20141108,None
301098.SZ,20240118,王宜森,M,高管,法定代表人,本科,中国,1963,20141108,None
301098.SZ,20240118,王宜森,M,委员会成员,战略委员会委员,本科,中国,1963,20201225,None
301098.SZ,20240118,王宜森,M,委员会成员,战略委员会主任,本科,中国,1963,20201225,None
301098.SZ,20240118,王宜松,M,高管,副总经理,本科,中国,1969,20220111,None
301098.SZ,20240118,杨雨,F,其他,董事会证券事务代表,本科,中国,1988,20240117,None
301098.SZ,20240118,杨晓波,M,高管,副总经理,硕士,中国,1982,20220111,None
301098.SZ,20240118,徐益民,M,委员会成员,审计委员会委员,硕士,中国,1962,20201225,None
301098.SZ,20240118,张永辉,M,高管,副总经理,硕士,中国,1982,20220111,None
301098.SZ,20240118,叶玲,F,委员会成员,薪酬与考核委员会委员,博士,中国,1982,20201225,None
301098.SZ,20240118,叶玲,F,委员会成员,提名委员会委员,博士,中国,1982,20240117,None
301098.SZ,20240118,叶玲,F,委员会成员,审计委员会委员,博士,中国,1982,20201225,None
301098.SZ,20240118,叶玲,F,委员会成员,审计委员会主任,博士,中国,1982,20201225,None
301098.SZ,20240118,刘雁丽,F,监事,监事会主席,博士,中国,1984,20240117,None
301098.SZ,20240118,刘殿华,M,委员会成员,薪酬与考核委员会委员,本科,中国,1963,20240117,None
301098.SZ,20240118,刘殿华,M,委员会成员,提名委员会委员,本科,中国,1963,20240117,None
301098.SZ,20240118,刘殿华,M,高管,总经理,本科,中国,1963,20141108,None
301098.SZ,20240118,刘标,M,高管,副总经理,本科,中国,1979,20171108,None
301098.SZ,20240118,刘明,M,高管,董事会秘书,本科,中国,1981,20240117,None
301098.SZ,20240118,刘明,M,高管,总经理助理,本科,中国,1981,20240117,None
301098.SZ,20240117,陈柳,M,董事会成员,独立董事,博士,中国,1979,20240117,None
301098.SZ,20240117,窦逗,F,董事会成员,董事,硕士,中国,1983,20240117,None
301098.SZ,20240117,王宜森,M,董事会成员,董事,本科,中国,1963,20141108,None
301098.SZ,20240117,徐益民,M,董事会成员,董事,硕士,中国,1962,20171108,None
301098.SZ,20240117,张忆慈,F,董事会成员,董事,硕士,中国,1987,20200309,None
301098.SZ,20240117,叶玲,F,董事会成员,独立董事,博士,中国,1982,20201215,None
301098.SZ,20240117,叶宁,M,董事会成员,董事,本科,中国,1979,20171108,None
301098.SZ,20240117,刘雁丽,F,监事,监事,博士,中国,1984,20240117,None
301098.SZ,20240117,刘殿华,M,董事会成员,董事,本科,中国,1963,20171108,None
301098.SZ,20240117,伍卓琼,F,监事,监事,硕士,中国,1983,20240117,None
301098.SZ,20231227,冯艳,F,监事,职工监事,本科,中国,1982,20231226,None
301098.SZ,20231227,伍卓琼,F,监事,职工监事,硕士,中国,1983,20171108,20231226
301098.SZ,20230425,刘标,M,高管,财务总监,本科,中国,1979,20171108,20230424
301098.SZ,20220113,杨积卫,M,高管,副总经理,专科,中国,196208,20171108,20220111
301098.SZ,20211025,顾梅琴,F,核心技术人员,设计院副院长,本科,中国,197905,201701,None
301098.SZ,20211025,聂荣辉,M,监事,监事,硕士,中国,198410,20171108,20240117
301098.SZ,20211025,窦逗,F,监事,监事会主席,硕士,中国,1983,20171108,20240117
301098.SZ,20211025,窦逗,F,监事,监事,硕士,中国,1983,20171108,20240117
301098.SZ,20211025,王建优,M,董事会成员,董事,博士,中国,196311,20190409,20240117
301098.SZ,20211025,王宜森,M,委员会成员,薪酬与考核委员会委员,本科,中国,1963,20201225,20240117
301098.SZ,20211025,李春涛,M,董事会成员,独立董事,博士,中国,197402,20171108,20240117
301098.SZ,20211025,李春涛,M,委员会成员,战略委员会委员,博士,中国,197402,20201225,20240117
301098.SZ,20211025,李春涛,M,委员会成员,审计委员会委员,博士,中国,197402,20201225,20240117
301098.SZ,20211025,张海英,F,核心技术人员,设计院设计总监,本科,中国,197603,201111,None
301098.SZ,20211025,张永辉,M,核心技术人员,项目总监,硕士,中国,1982,202010,None
301098.SZ,20211025,刘标,M,高管,董事会秘书,本科,中国,1979,20171108,20240117
301098.SZ,20210330,袁彬,M,董事会成员,独立董事,硕士,中国,198104,20171108,20201225
301098.SZ,20190614,王晓灵,F,高管,财务总监,本科,中国,197104,20141108,20171108
