ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
002843.SZ,20231207,谭永平,M,其他,董事会证券事务代表,本科,中国,1982,20200710,None
002843.SZ,20231207,谢朝勃,M,高管,财务总监,本科,中国,1971,20170917,None
002843.SZ,20231207,解浩然,M,委员会成员,薪酬与考核委员会委员,博士,中国,1976,20231206,None
002843.SZ,20231207,解浩然,M,委员会成员,薪酬与考核委员会召集人,博士,中国,1976,20231206,None
002843.SZ,20231207,解浩然,M,董事会成员,独立董事,博士,中国,1976,20231206,None
002843.SZ,20231207,解浩然,M,委员会成员,提名委员会委员,博士,中国,1976,20231206,None
002843.SZ,20231207,解浩然,M,委员会成员,战略委员会委员,博士,中国,1976,20231206,None
002843.SZ,20231207,解浩然,M,委员会成员,审计委员会委员,博士,中国,1976,20231206,None
002843.SZ,20231207,申柯,M,董事会成员,董事,硕士,中国,1971,20140705,None
002843.SZ,20231207,申柯,M,委员会成员,战略委员会委员,硕士,中国,1971,20140705,None
002843.SZ,20231207,杨乾勋,M,董事会成员,董事,本科,中国,1981,20231206,None
002843.SZ,20231207,杨乾勋,M,委员会成员,战略委员会委员,本科,中国,1981,20231206,None
002843.SZ,20231207,杨乾勋,M,高管,副总裁,本科,中国,1981,20230119,None
002843.SZ,20231207,李辉,M,高管,副总裁,本科,中国,1964,20231206,None
002843.SZ,20231207,易玄,F,委员会成员,薪酬与考核委员会委员,博士,中国,1973,20231206,None
002843.SZ,20231207,易玄,F,董事会成员,独立董事,博士,中国,1973,20231206,None
002843.SZ,20231207,易玄,F,委员会成员,审计委员会委员,博士,中国,1973,20231206,None
002843.SZ,20231207,易玄,F,委员会成员,审计委员会召集人,博士,中国,1973,20231206,None
002843.SZ,20231207,方鸿,M,董事会成员,董事长,本科,中国,1964,20140705,None
002843.SZ,20231207,方鸿,M,董事会成员,董事,本科,中国,1964,20140705,None
002843.SZ,20231207,方鸿,M,高管,法定代表人,本科,中国,1964,20140705,None
002843.SZ,20231207,方鸿,M,委员会成员,提名委员会委员,本科,中国,1964,20140705,None
002843.SZ,20231207,方鸿,M,委员会成员,战略委员会委员,本科,中国,1964,20140705,None
002843.SZ,20231207,方鸿,M,委员会成员,战略委员会召集人,本科,中国,1964,20140705,None
002843.SZ,20231207,彭飞舟,M,高管,副总裁,本科,中国,1962,20140705,None
002843.SZ,20200711,赵德军,M,委员会成员,薪酬与考核委员会委员,本科,中国,1974,20170711,20231206
002843.SZ,20200711,赵德军,M,董事会成员,独立董事,本科,中国,1974,20170711,20231206
002843.SZ,20200711,赵德军,M,委员会成员,审计委员会委员,本科,中国,1974,20170711,20231206
002843.SZ,20200711,赵德军,M,委员会成员,审计委员会召集人,本科,中国,1974,20170711,20231206
002843.SZ,20200711,谢朝勃,M,高管,副总经理,本科,中国,1971,20200710,20231206
002843.SZ,20200711,甘莉,F,监事,职工监事,本科,中国,198203,20200327,20231206
002843.SZ,20200711,王俊杰,M,其他,董事会证券事务代表,本科,中国,1973,20170711,20200710
002843.SZ,20200711,李辉,M,高管,总经理,本科,中国,1964,20170711,20231206
002843.SZ,20200711,李灿辉,M,高管,副总经理,硕士,中国,1982,20180906,20231206
002843.SZ,20200711,彭飞舟,M,董事会成员,董事,本科,中国,1962,20140705,20231206
002843.SZ,20200711,彭飞舟,M,委员会成员,战略委员会委员,本科,中国,1962,20140705,20231206
002843.SZ,20200711,彭飞舟,M,委员会成员,审计委员会委员,本科,中国,1962,20140705,20231206
002843.SZ,20200711,宋思勤,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1981,20170711,20231206
002843.SZ,20200711,宋思勤,M,委员会成员,薪酬与考核委员会召集人,硕士,中国,1981,20170711,20231206
002843.SZ,20200711,宋思勤,M,董事会成员,独立董事,硕士,中国,1981,20170711,20231206
002843.SZ,20200711,宋思勤,M,委员会成员,提名委员会委员,硕士,中国,1981,20170711,20231206
002843.SZ,20200711,宋思勤,M,委员会成员,战略委员会委员,硕士,中国,1981,20170711,20231206
002843.SZ,20200328,周海鸥,M,监事,职工监事,专科,中国,196302,20170331,20200327
002843.SZ,20181101,何建国,M,董事会成员,独立董事,硕士,中国,1954,20140705,20181031
002843.SZ,20181101,何建国,M,委员会成员,提名委员会委员,硕士,中国,1954,20140705,20181031
002843.SZ,20181101,何建国,M,委员会成员,提名委员会召集人,硕士,中国,1954,20140705,20181031
002843.SZ,20181101,何建国,M,委员会成员,审计委员会委员,硕士,中国,1954,20170711,20181031
