ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
001227.SZ,20240808,韩泽华,M,董事会成员,董事,硕士,,1982,None,None
001227.SZ,20240808,陈忆君,F,监事,股东监事,本科,,1964,None,None
001227.SZ,20240808,许建平,M,董事会成员,董事,硕士,中国,1970,201903,None
001227.SZ,20240808,许尔文,M,监事,外部监事,专科,,1966,None,None
001227.SZ,20240808,董希淼,M,监事,外部监事,硕士,,1977,None,None
001227.SZ,20240808,苏立钊,M,监事,股东监事,硕士,,1994,None,None
001227.SZ,20240808,林柯,M,董事会成员,独立董事,硕士,中国,1960,201903,None
001227.SZ,20240808,杨立勋,M,董事会成员,独立董事,本科,,1965,None,None
001227.SZ,20240808,李燕,F,董事会成员,董事,本科,,1974,None,None
001227.SZ,20240808,李富有,M,董事会成员,独立董事,博士,,1953,None,None
001227.SZ,20240808,方文彬,M,董事会成员,独立董事,硕士,中国,1965,201903,None
001227.SZ,20240808,张少伟,M,董事会成员,董事,硕士,中国,1980,None,None
001227.SZ,20240808,刘靖,M,董事会成员,董事,硕士,中国,1977,None,None
001227.SZ,20240808,刘敏,M,董事会成员,董事,硕士,,1979,None,None
001227.SZ,20240808,刘敏,M,高管,副行长,硕士,,1979,20240807,None
001227.SZ,20240702,何力,M,高管,副行长,硕士,中国,1969,201904,20240701
001227.SZ,20240427,程艺,F,高管,副行长,硕士,中国,1985,20240425,None
001227.SZ,20240419,王斌国,M,高管,副行长,硕士,中国,1972,201903,20240418
001227.SZ,20230429,韩庆,M,委员会成员,战略委员会委员,硕士,中国,1953,201102,20240823
001227.SZ,20230429,赵晓菊,F,委员会成员,战略委员会委员,博士,中国,1955,201703,20240823
001227.SZ,20230429,赵晓菊,F,委员会成员,信息科技管理委员会委员,博士,中国,1955,201703,20240823
001227.SZ,20230429,赵敏,F,委员会成员,战略委员会委员,硕士,中国,1986,201903,20240823
001227.SZ,20230429,袁志军,M,委员会成员,信息科技管理委员会委员,本科,中国,1967,201607,20240823
001227.SZ,20230429,蒲五斤,M,委员会成员,风险管理及关联交易控制委员会委员,本科,中国,1968,202103,20240823
001227.SZ,20230429,蒲五斤,M,委员会成员,消费者权益保护委员会委员,本科,中国,1968,202103,20240823
001227.SZ,20230429,蒲五斤,M,委员会成员,战略委员会委员,本科,中国,1968,202103,20240823
001227.SZ,20230429,蒲五斤,M,委员会成员,信息科技管理委员会委员,本科,中国,1968,202103,20240823
001227.SZ,20230429,苏如春,M,委员会成员,战略委员会委员,硕士,中国,1967,201102,20240823
001227.SZ,20230429,王文银,M,委员会成员,战略委员会委员,博士,中国,1968,201703,20240823
001227.SZ,20230429,王世豪,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1950,201606,20240823
001227.SZ,20230429,王世豪,M,委员会成员,战略委员会委员,硕士,中国,1950,201606,20240823
001227.SZ,20230429,林柯,M,委员会成员,薪酬与考核委员会委员,硕士,中国,1960,201903,20240823
001227.SZ,20230429,李黑记,M,委员会成员,战略委员会委员,本科,中国,1958,201102,20240823
001227.SZ,20230429,崔治文,M,委员会成员,风险管理及关联交易控制委员会委员,本科,中国,1964,201606,20240823
001227.SZ,20230429,崔治文,M,委员会成员,审计委员会委员,本科,中国,1964,201606,20240823
001227.SZ,20230429,刘麟瑜,M,委员会成员,消费者权益保护委员会委员,本科,中国,1963,201102,20240823
001227.SZ,20230429,刘麟瑜,M,委员会成员,审计委员会委员,本科,中国,1963,201102,20240823
001227.SZ,20230106,李小林,M,高管,总审计师,本科,中国,1962,201109,20230105
001227.SZ,20230106,李小林,M,高管,副行长,本科,中国,1962,201109,20230105
001227.SZ,20211207,韩庆,M,董事会成员,董事,硕士,中国,1953,201102,20240823
001227.SZ,20211207,赵晓菊,F,董事会成员,独立董事,博士,中国,1955,201703,20240823
001227.SZ,20211207,赵敏,F,董事会成员,董事,硕士,中国,1986,201903,20240823
001227.SZ,20211207,袁志军,M,董事会成员,董事,本科,中国,1967,201607,20240823
001227.SZ,20211207,蒲五斤,M,高管,行长,本科,中国,1968,202102,20240823
001227.SZ,20211207,蒲五斤,M,董事会成员,董事,本科,中国,1968,202103,20240823
001227.SZ,20211207,苏如春,M,董事会成员,董事,硕士,中国,1967,201102,20240823
001227.SZ,20211207,王文银,M,董事会成员,董事,博士,中国,1968,201703,20240823
001227.SZ,20211207,王世豪,M,董事会成员,独立董事,硕士,中国,1950,201606,20240823
001227.SZ,20211207,李黑记,M,董事会成员,董事,本科,中国,1958,201102,20240823
001227.SZ,20211207,李红岩,M,监事,外部监事,,中国,1964,201606,20240823
001227.SZ,20211207,房向阳,M,董事会成员,董事长,硕士,中国,1962,201101,201903
001227.SZ,20211207,房向阳,M,董事会成员,董事,硕士,中国,1962,201101,201903
001227.SZ,20211207,房向阳,M,高管,法定代表人,硕士,中国,1962,201101,201903
001227.SZ,20211207,张俊良,M,高管,行长,硕士,中国,1966,201101,20200512
001227.SZ,20211207,崔治文,M,董事会成员,独立董事,本科,中国,1964,201606,20240823
001227.SZ,20211207,吕洪波,M,监事,外部监事,硕士,中国,1976,201606,20240823
001227.SZ,20211207,刘麟瑜,M,董事会成员,董事,本科,中国,1963,201102,20240823
001227.SZ,20211207,刘超,M,监事,股东监事,本科,中国,1986,202111,20240823
001227.SZ,20211207,刘军,M,高管,副行长,本科,中国,1965,201903,20240823
001227.SZ,20180404,李红兵,M,高管,董事会秘书,本科,中国,1972,20160525,20191202
