trade_date,ts_code,name,close,change,rank,market_type,amount,net_amount,buy,sell
20240925,000333.SZ,美的集团,70.11,2.07,2,3,2032289913.0,,,
20240925,000568.SZ,泸州老窖,112.47,1.85,10,3,918837472.0,,,
20240925,000651.SZ,格力电器,42.48,1.0,9,3,1004403304.0,,,
20240925,000858.SZ,五粮液,122.1,1.74,3,3,2003102664.0,,,
20240925,002475.SZ,立讯精密,38.46,-0.31,8,3,1034283281.0,,,
20240925,002594.SZ,比亚迪,262.8,8.51,4,3,1772374104.0,,,
20240925,300059.SZ,东方财富,12.42,0.46,6,3,1236023444.0,,,
20240925,300308.SZ,中际旭创,121.99,-0.17,7,3,1098621544.0,,,
20240925,300750.SZ,宁德时代,203.1,5.58,1,3,4162094380.0,,,
20240925,300760.SZ,迈瑞医疗,235.85,2.82,5,3,1499171147.0,,,
20240925,600030.SH,中信证券,21.16,0.34,7,1,1560153652.0,,,
20240925,600036.SH,招商银行,34.15,1.02,3,1,2408100625.0,,,
20240925,600519.SH,贵州茅台,1399.0,26.4,1,1,4213823449.0,,,
20240925,600900.SH,长江电力,28.93,0.17,8,1,1421769920.0,,,
20240925,601138.SH,工业富联,21.07,0.49,6,1,1581162345.0,,,
20240925,601288.SH,农业银行,4.84,0.04,10,1,1173686505.0,,,
20240925,601318.SH,中国平安,47.36,0.86,4,1,2024520957.0,,,
20240925,601398.SH,工商银行,6.04,0.04,5,1,1798333064.0,,,
20240925,601899.SH,紫金矿业,16.92,0.41,2,1,2696526954.0,,,
20240925,603259.SH,药明康德,42.71,0.21,9,1,1282731933.0,,,
